ThetaFW[0]	ThetaFW[1]	ThetaFW[2]	ThetaFW[3]	
10.6046	5.62222	33.9239	4.81818	
19.2851	2.17778	33.5797	10.5152	
12.5931	8.44444	30.5833	9.19697	
11.5954	2.26667	36.6051	4.69697	
10.3632	4.48889	41.7391	5.59091	
8.70805	0.0444444	36.1993	8.12121	
10.2621	8.17778	39.1957	6.57576	
3.15172	9.13333	21.3442	8	
8.5908	9.37778	38.6159	6.54545	
10.0184	0.822222	27.3261	5.54545	
3.28046	1.8	24.0181	8.22727	
9.78851	1.28889	25.2138	9.45455	
17.4851	0.288889	30.0761	9.69697	
10.4621	6.93333	28.1993	5.5	
8.16322	4.8	28.1775	5.80303	
15.4391	9.02222	40.1304	10.0606	
11.8667	3.42222	34.5942	3.74242	
8.81379	0.977778	32.9638	4.18182	
9.96322	8.35556	31.9022	11.6667	
9.51494	2.84444	33.9457	9.78788	
4.2023	4.97778	53.1594	6.71212	
10.377	1.73333	45.7319	14.2273	
6.11954	1.48889	36.4094	10.1818	
10.0368	1	37.9167	9.27273	
4.84828	3.37778	24.6341	8.65152	
22.0276	4.62222	47.2645	8.9697	
7.11034	2.04444	26.6884	2.89394	
10.8046	4.75556	13.1268	15.303	
12.6506	2.04444	32.3225	7.27273	
13.2115	1.88889	57.8768	5.65152	
2.17241	3.26667	32.7609	7.72727	
19.5471	9.77778	26.6848	17.4242	
6.25747	13.1111	53.2464	8.18182	
6.57471	1.75556	41.2246	10.9394	
4.52874	4.31111	32.913	8.10606	
8.31034	4.4	22.7935	16.1515	
6.46207	6.4	35.8333	5.45455	
5.02989	1.35556	21.3043	4.69697	
6.41379	12.4889	41.7065	7.24242	
9.30115	0.955556	28.913	5.74242	
2.12184	0.133333	33.5181	4.09091	
14.4	17.8444	41.4565	12.7879	
2.71034	2.8	31.808	2.78788	
6.38851	1.8	35.0688	7.21212	
13.8391	7.42222	38.2826	9.0303	
2.28506	0.577778	42.3478	10.7879	
12.7747	5	42.8804	10.5	
6.37241	0.511111	32.1051	3.69697	
12.7149	2.77778	45.913	8.39394	
15.5448	1.64444	30.4348	6.15152	
19.8	6.06667	22.4457	11.7727	
10.6115	6.82222	36.6522	6.9697	
6.26897	6.71111	22.9167	5.12121	
16.9701	16.3111	40.8442	6.5	
3.76092	8.53333	37.9094	8.83333	
6.2046	3.73333	37.6196	10.4545	
12.731	4.35556	64.087	4.62121	
9.45517	1.33333	41.25	4.69697	
12.4184	1.95556	32.5725	7.68182	
8.37011	1.8	12.25	8.10606	
11.4759	14.6444	27.4529	7.74242	
9.42529	1.62222	17.2029	7.75758	
9.17241	7.68889	39.7355	9.66667	
9.02299	5.48889	48.8949	6.28788	
16.069	7.13333	51.0652	9.45455	
9.52874	2.55556	40.9891	4.36364	
10.1241	12.5333	26.5254	10.2273	
5.53103	2.42222	30.7899	4.74242	
13.9517	11.2667	40.0833	6.07576	
15.6138	3.33333	39.779	9.39394	
5.98851	0.111111	39.1594	7.48485	
10.5839	9.71111	28.4855	13.9091	
5.54023	1.37778	53.1051	9.19697	
7.41609	0.755556	45.2717	5.07576	
15.7011	1.17778	44.587	7.33333	
22.7977	5.91111	21.3152	6.28788	
2.25057	0.488889	70.221	9.60606	
7.57701	1.44444	70.0761	8.71212	
5.89655	5.06667	32.1884	11.3333	
19.1931	5.31111	42.9275	4.04545	
9.14713	13.3333	43.5761	15.0455	
17.2713	3.02222	32.6377	2.07576	
12.9701	5.64444	50.6848	5.57576	
8.91954	6.08889	42.8225	10.9848	
10.2828	1.66667	39.3225	3.09091	
11.1126	1.55556	23.5145	2.84848	
12.0368	9.28889	30.5181	13.9242	
3.35632	2.02222	42.9565	4.95455	
26.4	1.68889	43.3659	7.5	
3.56092	7.15556	47.5181	11.1364	
12.5678	27.2	22.8659	5.89394	
14.6713	2.62222	18.5761	5.34848	
7.45057	3.22222	17.7428	8.65152	
13.2184	0.355556	35.3877	6.45455	
9.97931	9.06667	29.5145	14.9091	
5.12414	1.17778	29.058	11.8485	
10.9264	0.711111	29.5652	9.12121	
35.7701	2.53333	33.2391	10.4697	
11.2828	3.95556	32.3478	6.90909	
6.36552	1.82222	41.7971	5.39394	
5.86667	0.711111	43.2717	6.65152	
25.3172	1.51111	40.7138	2.39394	
1.02069	4.88889	20.1051	4.78788	
7.16552	1.88889	28.779	2.69697	
6.10345	2.02222	39.0254	4.31818	
11.9517	3.84444	32.3587	9.07576	
14.1379	9.46667	49.3116	14.4545	
4.5954	10.7333	42.9783	2.01515	
10.3494	1.48889	34.7065	7.15152	
0.777011	9.02222	41.9167	3.84848	
8.87586	6.66667	33.5072	4.0303	
6.8069	2.88889	30.5072	11.8333	
1.97931	3.55556	34.4493	12.7424	
7.01149	20.5778	45.8225	4.5303	
11.5448	4.55556	25.058	4.93939	
5.08736	3.91111	37.8116	8.81818	
18.331	16.5111	40.0326	11.1212	
5.28966	13.7556	28.3659	8.33333	
10.0161	0.577778	52.1413	13.9394	
5.45747	0.511111	32.8551	4.09091	
2.35632	2.04444	54.8587	6.84848	
3.64368	2.35556	34.3043	4.89394	
1.88736	1.55556	38.4638	15.4545	
8.26667	0.422222	34.4457	3.66667	
13.7609	7.93333	33.6703	6.89394	
5.26437	3.13333	35.4928	7.07576	
7.71954	2.22222	23.5217	6.37879	
4.53793	2.48889	29.8659	7.5	
