Fs[0]	Fs[1]	Fs[2]	Fs[3]	
0.763071	0.704399	-0.407753	-3.93252	
-0.447158	0.439718	-1.8622	-2.05958	
-2.23593	0.911395	-2.78112	-5.45092	
-2.20366	1.60405	-0.953074	-1.73865	
-5.69074	-0.0774648	-2.24721	-2.67166	
-5.30542	-1.16394	1.21117	-4.91686	
-6.53367	0.305848	-1.57079	-1.01915	
-1.82408	-0.230024	-2.51134	-3.04243	
-6.35014	0.279264	0.470217	-5.85857	
-3.29396	-1.74647	-2.12034	-3.82203	
-7.53681	-1.4475	-0.308043	-1.60987	
1.576	0.87495	-2.3723	-2.92151	
2.85331	0.108362	-2.28414	-4.96369	
-0.877013	0.203378	-3.53131	-2.76626	
-1.06983	-0.747555	-2.72756	0.610111	
-3.01445	3.20228	-2.65309	-3.55676	
-2.04967	-0.0585579	-0.0906017	-1.38589	
-1.37638	-5.49994	1.23378	-5.95974	
-0.861303	1.84246	-2.96886	-0.837921	
2.04699	-1.12411	-1.7013	-0.644661	
-7.71943	-2.02927	-1.74996	-3.77082	
-2.25131	-2.95404	3.91796	-3.20131	
-3.3717	0.764776	-1.95315	-1.70471	
-0.604297	-0.732682	1.05973	-4.05495	
-3.6639	-0.0335176	0.564851	-3.65784	
-2.69252	0.270586	0.84653	-1.22134	
-1.89873	-1.24939	-2.67021	-3.43335	
-2.93742	2.01982	-4.30141	-3.89456	
-0.474823	-1.89204	-1.19806	-4.36723	
-2.81872	0.79395	-1.00749	-2.89238	
-5.68923	0.367183	-2.63231	-4.52218	
0.96799	5.65959	-3.10321	0.482644	
-0.186048	2.45839	2.52508	-6.92186	
-1.44447	-1.29478	-0.456048	-1.15051	
-2.01016	-2.83264	-1.63493	-0.853184	
-0.84347	-1.55748	-3.25474	-2.27051	
-0.144382	-0.663593	0.633686	-3.17089	
0.488621	-1.34027	-0.448464	-2.86763	
-1.83619	0.690592	0.785573	-7.04119	
-4.41711	-0.679525	0.953595	-1.9779	
-2.23114	-1.46598	-3.13201	-9.61188	
-2.17809	0.796216	-1.93149	-1.14757	
-0.633183	1.1346	-0.728565	-5.33413	
-0.215334	-1.86209	-0.443519	-3.05587	
-4.58106	-0.230334	-1.96734	-0.743954	
-3.48158	-0.50321	0.234619	-4.08778	
0.0727689	1.56845	-0.571271	-5.93411	
-4.33254	-2.72754	1.03691	-3.2069	
-3.29458	0.169289	2.2938	-3.46635	
-0.659129	-2.75623	-3.96591	-0.803748	
-1.51802	-0.174716	-1.03409	-3.02692	
-0.198513	0.759842	-3.0336	-2.09322	
-2.74932	1.37869	-1.73983	-3.97478	
1.72934	2.57667	3.07257	-2.4178	
-2.97668	-4.464	-2.13669	-5.28477	
-1.52738	1.49186	1.02554	-1.37414	
0.0534159	2.05934	-1.51177	-6.25796	
-3.38681	0.334025	-1.68067	-4.13785	
-1.8609	2.55694	1.62842	-2.62717	
-0.48578	-0.580235	-3.06089	-5.81746	
-0.916801	0.846346	-3.04663	-2.78444	
-0.575926	1.22807	-1.32993	-0.296522	
-0.586314	2.30355	-0.122038	-3.24961	
-2.87521	0.759842	0.741398	-3.57662	
0.450279	-1.86104	1.93426	-2.07073	
-1.71388	0.322457	-0.416357	-3.95906	
-4.96454	-0.00966613	-1.70936	-2.99625	
-1.59672	0.423273	-5.70545	-4.94602	
-5.34536	4.17966	0.580482	-4.19758	
-1.08206	-0.306309	-1.00511	-2.33325	
-0.31134	-0.876332	-2.39	-4.27653	
0.989906	4.90104	-1.28556	-2.02349	
-3.1099	-2.21823	0.206458	-4.11269	
-3.93049	0.163641	-0.81687	-6.39344	
-1.03158	0.948883	-1.94445	-3.63726	
-3.96037	0.305279	-2.94264	-5.07123	
-2.80024	-1.62852	0.0348641	-1.08667	
0.114843	0.79395	-0.0135128	-6.16409	
0.072397	1.01391	-0.0240627	-4.1856	
1.54292	3.85323	-1.76377	-4.07953	
-0.248348	3.08529	0.885995	-0.626496	
-0.227085	0.580375	1.1701	-3.91971	
0.887275	1.7217	1.36931	-2.57641	
-6.58369	1.12937	1.95028	-2.38181	
-0.466162	-0.201349	-0.907666	-5.60816	
-1.25973	-1.76151	-0.910675	-3.80721	
-0.115369	2.02587	-2.13834	-5.1286	
-7.30609	1.62246	-2.14415	-3.79995	
-0.07225	-1.23066	-0.226337	-2.7171	
-1.29696	0.313751	-4.18969	-2.08757	
1.83856	2.86131	-0.798114	-4.96961	
-2.45145	2.30377	-5.75259	-3.6441	
-3.68446	2.07599	-4.11621	-0.684702	
-1.45465	-2.7808	-0.706806	-2.47844	
-1.6642	0.668596	-2.31927	-2.92151	
-5.01088	-0.384079	-1.64898	-3.54362	
0.237863	-2.69922	-0.351847	-8.11401	
-0.086247	-2.87732	-2.42182	-4.77606	
-2.71435	1.03161	0.120488	-2.20966	
-6.41231	0.279264	-1.32411	-1.24489	
-2.23554	-1.89204	-0.376159	-5.81746	
-1.40678	-1.89575	0.964144	-2.81843	
-6.42849	1.73925	-2.6892	-5.8919	
-0.460556	-2.54661	1.69044	-4.9655	
-3.59336	0.806707	-5.50962	-2.76352	
-3.03101	-0.384079	-2.01306	-4.93432	
-4.02535	4.65513	1.51167	-3.56998	
-3.0698	0.96041	-1.71847	-3.69698	
-2.22027	2.04263	-0.157511	-4.76529	
-6.31583	1.43836	-1.7215	-5.41543	
-1.37173	1.95665	-1.93016	-3.88166	
-5.16017	-1.50784	-2.98333	-4.49777	
-4.04941	-1.60447	-2.65214	-0.0599433	
0.129633	-0.272062	-1.69854	-6.77293	
-1.97696	-1.50959	-0.0315792	-0.02102	
-0.729284	-2.65448	-2.31473	-6.85228	
-0.992617	3.29488	-0.17869	-0.948062	
-10.3534	0.00354848	0.741948	-3.7636	
-2.01114	-0.0464656	-0.394835	-2.84473	
-3.81638	-1.92244	-3.90738	-4.42323	
-5.53009	-1.46284	-4.44927	-3.28426	
-2.81319	-0.108692	-2.46254	-4.58877	
-1.628	-2.46767	-0.0333906	-5.40137	
-4.14393	-2.48114	-1.59024	-2.22168	
-3.12268	4.57245	-2.51305	-2.2767	
-2.36162	1.12469	1.94395	-3.44744	
-5.3703	1.05597	-1.52849	-6.53562	
-0.353938	-1.36341	-1.30814	-3.3254	
-2.19004	-0.602192	0.593266	-4.07953	
-1.53094	1.59689	-0.0377023	-2.27051	
-0.804305	0.764776	-2.74564	-4.73806	
-0.941882	0.334025	-1.72978	-2.08212	
-3.47627	0.126975	-1.94506	-2.26703	
1.53483	-1.83256	-0.303534	-3.95906	
-6.11069	-1.06033	-2.33593	-2.70901	
4.02034	0.675532	-3.39252	-7.00494	
-1.50385	1.0223	-2.4736	-1.75158	
-3.11608	0.488475	1.134	-6.95721	
0.613238	-4.12663	-3.03764	-5.72906	
