Pwh[0]	Pwh[1]	Pwh[2]	Pwh[3]	
0.136001	0.350195	0.0507866	0.431373	
0.0782233	0.633803	0.0894168	0.124528	
0.171192	1.125	0.0280973	0.113597	
0.0994059	0.978261	0.150507	0.170984	
0.127491	0.302013	0.066092	0.303448	
0.121102	2.5	0.064842	0.198795	
0.166284	0.894886	0.0274299	0.197605	
0.251518	0.322581	0.0353257	0.105769	
0.266381	1.73077	0.0639037	0.125	
0.0891028	0.483871	0.0639333	0.13253	
0.374516	0.266272	0.0318744	0.10628	
0.154201	0.882353	0.102361	0.101852	
0.0509726	1.21622	0.0492374	0.10061	
0.0742448	0.216346	0.100669	0.193833	
0.212247	0.200893	0.111666	0.15677	
0.0992245	1.48477	0.219396	0.246269	
0.0824176	0.241935	0.0458015	0.15103	
0.157267	0.330882	0.102014	0.127907	
0.101022	1.00248	0.157467	0.236277	
0.0960053	0.703125	0.223572	0.114187	
0.162799	0.330882	0.0631098	0.261386	
0.117377	0.277778	0.0643557	0.237197	
0.105634	0.552147	0.0611228	0.11	
0.0695555	0.529412	0.0415945	0.141026	
0.110941	0.239362	0.0728296	0.253359	
0.109351	0.340909	0.11112	0.284483	
0.177045	0.661765	0.0273105	0.189112	
0.0836538	0.507519	0.0393779	0.148984	
0.0920245	0.511364	0.0323678	0.152778	
0.191503	0.272727	0.0230731	0.162162	
0.243697	0.403587	0.0540858	0.0894309	
0.166306	1.36957	0.0304132	0.14442	
0.117631	0.870968	0.069046	0.314286	
0.0988636	0.405405	0.0773687	0.616822	
0.30742	0.157343	0.0838396	0.49531	
0.0860534	0.833333	0.0630353	0.409429	
0.162374	1.74569	0.12172	0.22	
0.138008	0.412844	0.0514541	0.160976	
0.126087	2.56329	0.0872589	0.160976	
0.146268	0.517241	0.055355	0.121101	
0.190206	1.32353	0.0612449	0.255814	
0.308248	1.34831	0.0889319	0.0891892	
0.2207	0.789474	0.112412	0.19186	
0.118496	0.505618	0.0513727	0.170103	
0.0933476	1.69811	0.0449438	0.356115	
0.20461	0.478723	0.107728	0.142241	
0.129735	0.8	0.13376	0.127168	
0.123299	0.420561	0.054017	0.402439	
0.0760622	0.439024	0.0730932	0.36	
0.120532	0.424528	0.0525114	0.364641	
0.0906533	0.762712	0.0925243	0.105263	
0.402405	1.19772	0.029909	0.251908	
0.129349	0.266272	0.0752967	0.414226	
0.262153	1.53992	0.0767875	0.140127	
0.269851	0.511364	0.0236119	0.218182	
0.16286	0.681818	0.0541973	0.292035	
0.16165	0.823171	0.212308	0.233216	
0.29029	0.5625	0.0411725	0.144105	
0.108263	0.803571	0.0578738	0.14966	
0.0789617	0.302013	0.120577	0.247655	
0.175121	1.05058	0.0900098	0.0974889	
0.220812	0.913706	0.0428838	0.198795	
0.110687	0.459184	0.0602029	0.112628	
0.113134	1.19772	0.114837	0.247655	
0.0627706	0.660147	0.133488	0.25	
0.0767873	1	0.0509272	0.1375	
0.135261	1.22093	0.0746854	0.208531	
0.102257	0.638298	0.0371067	0.200303	
0.167243	1.20459	0.0966302	0.146341	
0.066636	0.333333	0.23506	0.136364	
0.103448	1	0.076047	0.447964	
0.527181	0.56872	0.0995911	0.14966	
0.100928	0.576923	0.103736	0.143167	
0.197997	1.07143	0.108414	0.140725	
0.153982	0.789474	0.089277	0.125954	
1.22612	1.00746	0.0391323	0.180822	
0.360846	0.775862	0.0878771	0.174142	
0.079612	0.272727	0.0892987	0.133874	
0.110266	0.924658	0.0876005	0.0812808	
0.155329	0.463918	0.084507	0.283871	
0.10185	1.65789	0.0878072	0.432787	
0.190316	0.737705	0.103916	0.214984	
0.231465	0.349741	0.0756423	0.147321	
0.167308	1.02941	0.106348	0.170323	
0.0918303	0.257143	0.0446783	0.203704	
0.138845	0.3	0.0381321	0.208861	
0.115569	3.88889	0.0642383	0.104928	
0.155357	0.647482	0.141975	0.131737	
0.0713583	0.244565	0.0718314	0.153846	
0.182696	0.206422	0.231124	0.377143	
0.124588	3.75	0.0927264	0.100763	
0.143186	0.882353	0.0374136	0.126195	
0.152685	0.545455	0.075918	0.115993	
0.0990888	0.703125	0.0718656	0.142857	
0.168019	0.873786	0.0248604	0.203704	
0.116279	0.789474	0.140301	0.122677	
0.18061	0.416667	0.0969101	0.197605	
0.334615	0.542169	0.0511395	0.287373	
0.0939119	0.741758	0.11165	0.130952	
0.101612	0.576923	0.0254801	0.286957	
0.100046	0.511364	0.09763	0.123827	
0.104354	0.865385	0.0551834	0.240876	
0.192819	1.3125	0.0368836	0.125954	
0.125977	0.243243	0.0569248	0.176471	
0.247863	0.454545	0.0700923	0.156028	
0.0995196	0.789474	0.136667	0.0998487	
0.171598	0.454545	0.0362252	0.247191	
0.189873	0.674518	0.0286248	0.613953	
0.0853276	0.276074	0.0608667	0.168367	
0.223996	0.841121	0.149857	0.112628	
0.157096	0.346154	0.182218	0.212903	
0.278044	0.5	0.118489	0.0888291	
0.225505	0.346154	0.471634	0.0902873	
0.0927505	2.13504	0.0853872	0.152425	
0.162374	0.545455	0.0742335	0.269388	
0.158933	0.148026	0.0496582	0.15493	
0.261026	1.55172	0.077539	0.128405	
0.13146	2.12042	0.0370023	0.26087	
0.111739	1.32353	0.130914	0.0993976	
0.650548	0.517241	0.0363732	0.15493	
0.238356	0.267857	0.175071	0.113793	
0.180873	0.306122	0.24431	0.322738	
0.348279	0.236842	0.22282	0.112245	
0.329047	0.633803	0.0551724	0.262948	
0.0738039	1.27479	0.137018	0.133874	
0.165399	0.238095	0.0798919	0.238698	
0.0754946	1.5	0.106646	0.145055	
0.122673	0.416667	0.076068	0.115183	
0.188557	0.5	0.072182	0.283871	
0.138359	1.22283	0.0293243	0.133603	
0.0729743	1.38037	0.027845	0.189655	
0.0753899	1.125	0.0861513	0.152955	
0.204417	0.725806	0.0914816	0.0817844	
0.155607	0.5	0.147318	0.275	
0.114836	0.228426	0.169035	0.233216	
0.078933	0.573248	0.0431992	0.159806	
0.234438	0.921502	0.0259301	0.111864	
0.227035	0.931034	0.131266	0.158273	
0.140982	0.391304	0.119753	0.121324	
0.373471	0.966443	0.0283368	0.0986547	
0.416348	5	0.0704621	0.107317	
0.248146	0.875486	0.0438374	0.187767	
0.0827626	0.346154	0.104269	0.0941512	
0.177298	1.27358	0.098548	0.201835	
0.248075	1.13924	0.0328689	0.256311	
0.13315	0.410959	0.130806	0.141026	
0.278668	0.478723	0.0306462	0.125954	
0.0919662	0.217391	0.190476	0.380403	
0.148566	0.679758	0.275842	0.0856031	
0.0776093	0.798387	0.0344785	0.0876494	
0.110182	0.705882	0.0546481	0.157895	
0.091195	0.348837	0.0786399	0.171429	
0.15704	0.972222	0.0520706	0.087766	
0.103868	0.810811	0.0515342	0.137787	
0.0633834	0.189873	0.0529954	0.107492	
0.116841	1.33005	0.093401	0.256809	
0.23777	0.45	0.0919081	0.306265	
0.0972067	0.176471	0.064728	0.107143	
0.14612	0.171103	0.0753892	0.145055	
0.201436	0.652174	0.0453574	0.190751	
0.156026	0.296053	0.0886794	0.156028	
0.147558	0.725806	0.133721	0.245658	
0.097185	0.789474	0.0859813	0.182825	
0.137051	0.661765	0.105437	0.141026	
0.182085	1.15942	0.107337	0.147982	
0.136621	0.538922	0.0909316	0.165	
0.0992018	0.28125	0.0304401	0.136646	
0.121035	0.29703	0.104625	0.19214	
0.0833174	0.20362	0.0528466	0.100763	
0.0879143	0.304054	0.0981857	0.165829	
0.13148	2.49186	0.0543254	0.1875	
0.175474	0.272727	0.0754511	0.0990991	
0.140549	1.27358	0.0528483	0.132797	
0.0874724	0.3125	0.221529	0.123827	
0.139468	0.333333	0.033201	0.115587	
0.0586016	0.486486	0.110843	0.24	
0.0855457	0.160714	0.0415475	0.207547	
0.166475	0.276923	0.128338	0.223729	
0.226327	0.387931	0.0547782	0.0992481	
0.165368	1.56716	0.119983	0.143167	
0.185343	0.631825	0.0854357	0.0889488	
0.0878788	0.320285	0.0874802	0.0972018	
0.13562	0.307167	0.0943697	0.220367	
0.136321	0.403587	0.0265334	0.276151	
0.11035	0.387931	0.179021	0.0970588	
0.122328	0.592105	0.0279664	0.168798	
0.133436	0.436893	0.0574222	0.406154	
0.16141	0.288462	0.057536	0.0764774	
0.13792	0.351562	0.110899	0.150685	
0.147308	0.209302	0.0759633	0.0870712	
0.141786	1.02792	0.0291477	0.119782	
0.105608	1.79551	0.0775717	0.217105	
0.112694	0.260116	0.0307589	0.146341	
0.0999311	0.271903	0.0357652	0.323002	
0.0874196	1.53584	0.0490405	0.185393	
0.198812	0.689655	0.0331691	0.391304	
0.125252	0.254237	0.0470869	0.268293	
0.114024	0.401786	0.0893059	0.136929	
0.449535	0.483871	0.18469	0.095791	
0.139781	0.147541	0.0864526	0.078478	
0.117156	1.17493	0.0561889	0.113793	
0.115876	0.193966	0.0844876	0.123827	
0.107967	0.592105	0.0446494	0.148984	
0.150571	0.198238	0.0716511	0.156028	
0.311382	1.26	0.0695389	0.226545	
0.0988187	0.616438	0.0756717	0.19242	
0.0963029	0.420561	0.0994863	0.0988024	
0.0893958	0.581395	0.134897	0.260355	
0.0806601	0.181452	0.0846107	0.204019	
0.164586	0.314685	0.0650713	0.0890688	
0.385297	0.439024	0.0442591	0.200913	
0.212506	1.04651	0.125898	0.22449	
0.365035	2.76316	0.13682	0.349206	
0.140914	0.306122	0.0943509	0.259332	
0.106474	0.308219	0.0699088	0.0848329	
1.6526	1.10656	0.11351	0.182825	
0.171733	0.773196	0.0913302	0.150685	
0.110856	0.258621	0.223844	0.171875	
0.0756259	0.18595	0.0319481	0.136082	
0.0801548	1.02079	0.0661395	0.127413	
0.0979509	0.608108	0.200841	0.103937	
0.382923	0.503731	0.112355	0.253359	
0.0962177	0.46875	0.0972002	0.108911	
0.13238	0.214286	0.0483913	0.305085	
0.242813	0.304054	0.0588423	0.249057	
0.463753	2.54464	0.158302	0.120438	
0.119769	0.387931	0.100601	0.266129	
0.187097	0.708661	0.0488972	0.294205	
0.160457	0.368852	0.0920998	0.233628	
0.158009	0.681818	0.116685	0.189112	
0.157495	0.661765	0.142768	0.157895	
0.114158	0.501393	0.0790378	0.144262	
0.0955624	0.271084	0.056691	0.223729	
0.092161	0.424528	0.0567376	0.251429	
0.114806	0.267857	0.0656882	0.28821	
0.0822617	0.825688	0.062387	0.15331	
0.0773058	1.14964	0.0282382	0.290749	
0.548204	0.328467	0.0658868	0.111111	
0.966309	0.286624	0.0490754	0.140426	
0.416069	0.292208	0.0515021	0.146667	
0.120733	2.84211	0.142802	0.121771	
0.0959841	0.89404	0.0939415	0.144737	
0.185422	2.93478	0.0671125	0.0893099	
0.402281	1.46104	0.0413421	0.181319	
0.247934	0.365854	0.0709633	0.0959302	
0.0803324	0.220049	0.0640148	0.100152	
0.162738	0.315789	0.0856522	0.173684	
0.0923175	0.737705	0.145034	0.114583	
0.127678	1.8	0.034205	0.514286	
0.0985947	0.584416	0.0643357	0.197015	
0.113964	1.02273	0.0383546	0.227586	
0.0941355	1.15385	0.15605	0.123364	
0.0761821	0.263158	0.268908	0.165829	
0.103596	0.42654	0.05888	0.277895	
0.0677043	0.164835	0.152465	0.264	
0.0883787	0.491803	0.0315176	0.238842	
0.253201	0.58952	0.12172	0.140725	
0.114293	0.241935	0.0666398	0.152778	
0.281736	0.219512	0.085019	0.213247	
0.0931278	0.260116	0.0686567	0.0983607	
0.0944625	0.597345	0.10572	0.172324	
0.0987066	1.22867	0.122503	0.217105	
0.187419	1.17647	0.0335399	0.105431	
0.0623298	0.833333	0.0508334	0.138655	
0.0973154	1.1194	0.0885372	0.459397	
0.164213	0.218447	0.0864188	0.289474	
0.398109	0.447761	0.0507866	0.223729	
0.0703428	0.186722	0.0950304	0.131737	
0.0895615	0.608108	0.105923	0.188571	
0.09699	1.36364	0.0972173	0.302752	
0.0961326	0.292208	0.0659341	0.133874	
0.0845317	0.326087	0.0575	0.295302	
0.226681	0.494505	0.0893011	0.0929577	
0.185501	0.344828	0.218379	0.122905	
0.129042	0.296053	0.204509	0.149321	
0.12161	0.227273	0.0531741	0.202765	
0.152045	1.28571	0.0778269	0.0970588	
0.130162	0.277778	0.0622112	0.0816832	
0.107833	0.429936	0.061676	0.190476	
0.16471	0.511364	0.119313	0.283871	
0.118207	0.230769	0.0914361	0.174142	
0.0717703	1.15385	0.156463	0.0859375	
0.225505	0.555556	0.0227911	0.310588	
0.0848119	0.789474	0.0671778	0.219269	
0.0800663	1.20401	0.0533746	0.272165	
0.590498	1.35135	0.113409	0.167089	
0.0597199	1.95652	0.0586797	0.0700637	
0.140142	0.971223	0.0692076	0.808163	
0.170488	1.06452	0.174206	0.388235	
0.144711	0.371901	0.149391	0.26506	
0.0757708	0.37037	0.0653641	0.207547	
0.137008	1.81319	0.0632737	0.174603	
0.0631533	0.266272	0.0749321	0.110184	
0.0832058	0.81571	0.0324782	0.197605	
0.163288	0.471204	0.0844726	0.333333	
0.157495	0.572519	0.0660445	0.0974889	
0.103227	1.32353	0.0353348	0.303448	
0.226799	0.323741	0.0685147	0.0960699	
0.101422	0.597345	0.0833963	0.0969163	
0.156813	0.326087	0.0376689	0.329177	
0.0800515	0.588235	0.0732419	0.121996	
0.0618601	0.478723	0.0822081	0.0701382	
0.0907763	0.743802	0.0315176	0.183079	
0.202608	2.77778	0.180245	0.22	
0.116653	0.706806	0.113057	0.104596	
0.334101	0.555556	0.0465352	0.103286	
0.116248	0.211268	0.0348617	0.12	
0.238324	0.84507	0.0561318	0.177898	
0.0873845	1.04651	0.083649	0.358047	
0.108021	1.15809	0.0667069	0.177419	
0.135874	0.362903	0.0909091	0.130952	
0.111481	1.09756	0.0442769	0.231986	
0.21658	0.424528	0.0961756	0.154567	
0.147859	0.272727	0.0735216	0.220736	
0.238356	0.56962	0.120832	0.254826	
0.213235	2.62887	0.0480334	0.0917942	
0.0714168	0.671642	0.190257	0.143322	
0.106565	2.06422	0.0445018	0.0929577	
0.155302	0.665025	0.179775	0.262425	
0.0693006	0.542169	0.0653796	0.264	
0.0865672	1.73077	0.102781	0.230769	
0.121136	0.271084	0.0805839	0.121547	
0.363915	0.638298	0.0731772	0.0960699	
0.164617	1.30607	0.0692539	0.102009	
0.123826	0.838509	0.0584436	0.184615	
0.219254	0.436893	0.115602	0.0942857	
0.114024	0.5625	0.0955017	0.262948	
0.0688291	0.260116	0.118214	0.181818	
0.16141	0.217391	0.0563208	0.0960699	
0.095082	1.69565	0.0719593	0.133065	
0.146811	0.216346	0.0437956	0.167726	
0.128927	1.22034	0.040342	0.12	
0.135345	0.131579	0.111326	0.168798	
0.0901741	0.669643	0.0485616	0.297744	
0.145875	0.613636	0.113689	0.145055	
0.0859514	0.399408	0.190529	0.121547	
0.253054	1.06299	0.0586922	0.240876	
0.130945	0.687023	0.224792	0.201527	
0.158182	0.365854	0.135272	0.105769	
0.0952277	0.39823	0.0630353	0.252874	
0.0787188	0.169811	0.08261	0.12406	
0.280103	0.412844	0.155231	0.145055	
0.149075	2.08092	0.158076	0.338462	
0.0780969	0.56962	0.0556732	0.232394	
0.288941	0.9	0.0732776	0.101538	
0.0964737	0.782609	0.0256244	0.109635	
0.055414	0.957447	0.145085	0.103125	
0.302293	0.145631	0.124859	0.245353	
0.130926	1.09091	0.155126	0.105939	
0.163043	0.264706	0.171963	0.244444	
0.105506	0.605381	0.055013	0.203077	
0.162132	0.6	0.0767306	0.191304	
0.0763024	0.688776	0.134359	0.122449	
0.290387	2.26257	0.0705161	0.073743	
0.0837021	0.529412	0.116521	0.120438	
0.45066	1.55172	0.0802559	0.0670732	
0.103252	0.629371	0.0510638	0.112245	
0.147258	0.283019	0.0786885	0.153846	
0.0620985	0.491803	0.0638593	0.325123	
0.105098	0.38961	0.362324	0.316547	
0.0739042	0.491803	0.102501	0.15103	
0.54409	0.365854	0.0679301	0.369403	
0.105762	0.54878	0.0803493	0.14442	
0.0948746	0.478723	0.0509648	0.295082	
0.302819	0.535714	0.0672351	0.153132	
0.176578	0.439024	0.16409	0.545455	
0.141073	0.15	0.0537488	0.182825	
0.108398	0.350195	0.123228	0.34676	
0.149897	0.613636	0.0326627	0.111675	
0.129042	0.505618	0.0733945	0.303448	
0.0799485	0.168539	0.122812	0.202144	
0.0957517	1.24654	0.0535818	0.0901639	
0.093468	1.15385	0.0556732	0.129921	
0.36351	0.346154	0.0875172	0.272727	
0.0890299	0.41958	0.118379	0.134969	
0.0421104	0.174419	0.0678133	0.124294	
0.0981277	0.865385	0.231544	0.519685	
0.107249	0.483871	0.0306735	0.194404	
0.0967957	0.378151	0.285968	0.40081	
0.114594	1.11386	0.14053	0.226286	
0.142203	0.65407	0.034188	0.373938	
