Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-29.8881	-2.21733	-9.23024	-9.21034	-9.23024	-2.21733	-9.23024	-9.21034	-9.23024
-29.8483	-2.15762	-9.23024	-9.23024	-9.23024	-2.15762	-9.23024	-9.23024	-9.23024
-20.61	-2.69415	-4.08044	-4.60517	-9.23024	-2.69415	-4.08044	-4.60517	-9.23024
-30.2895	-2.61867	-9.23024	-9.21034	-9.23024	-2.61867	-9.23024	-9.21034	-9.23024
-21.3713	-2.40795	-4.41455	-5.31852	-9.23024	-2.40795	-4.41455	-5.31852	-9.23024
-27.4243	-2.54593	-9.21034	-6.43775	-9.23024	-2.54593	-9.21034	-6.43775	-9.23024
-28.5019	-3.02826	-9.23024	-7.01312	-9.23024	-3.02826	-9.23024	-7.01312	-9.23024
-22.4191	-1.93517	-5.62682	-5.62682	-9.23024	-1.93517	-5.62682	-5.62682	-9.23024
-25.3561	-3.1213	-7.01312	-5.99146	-9.23024	-3.1213	-7.01312	-5.99146	-9.23024
-25.9	-2.40795	-6.43775	-7.82405	-9.23024	-2.40795	-6.43775	-7.82405	-9.23024
-21.44	-2.34237	-4.24053	-5.62682	-9.23024	-2.34237	-4.24053	-5.62682	-9.23024
-27.1572	-2.27887	-9.21034	-6.43775	-9.23024	-2.27887	-9.21034	-6.43775	-9.23024
-23.4623	-2.47575	-5.31852	-6.43775	-9.23024	-2.47575	-5.31852	-6.43775	-9.23024
-18.6754	-2.0433	-3.32146	-4.08044	-9.23024	-2.0433	-3.32146	-4.08044	-9.23024
-28.7752	-3.32146	-9.21034	-7.01312	-9.23024	-3.32146	-9.21034	-7.01312	-9.23024
-21.7917	-2.69415	-5.05146	-4.81589	-9.23024	-2.69415	-5.05146	-4.81589	-9.23024
-24.0674	-1.83258	-7.01312	-5.99146	-9.23024	-1.83258	-7.01312	-5.99146	-9.23024
-25.5353	-2.85423	-6.43775	-7.01312	-9.23024	-2.85423	-6.43775	-7.01312	-9.23024
-22.7012	-2.61867	-4.41455	-6.43775	-9.23024	-2.61867	-4.41455	-6.43775	-9.23024
-24.5137	-2.40795	-6.43775	-6.43775	-9.23024	-2.40795	-6.43775	-6.43775	-9.23024
-20.3238	-1.88322	-4.60517	-4.60517	-9.23024	-1.88322	-4.60517	-4.60517	-9.23024
-21.3974	-1.93517	-4.60517	-5.62682	-9.23024	-1.93517	-4.60517	-5.62682	-9.23024
-27.6509	-2.77259	-7.82405	-7.82405	-9.23024	-2.77259	-7.82405	-7.82405	-9.23024
-23.6052	-2.61867	-5.31852	-6.43775	-9.23024	-2.61867	-5.31852	-6.43775	-9.23024
-20.8686	-2.40795	-4.81589	-4.41455	-9.23024	-2.40795	-4.81589	-4.41455	-9.23024
-21.6796	-2.40795	-5.62682	-4.41455	-9.23024	-2.40795	-5.62682	-4.41455	-9.23024
-20.1756	-2.77259	-4.24053	-3.93223	-9.23024	-2.77259	-4.24053	-3.93223	-9.23024
-24.4888	-2.61867	-5.62682	-7.01312	-9.23024	-2.61867	-5.62682	-7.01312	-9.23024
-23.9135	-2.61867	-6.43775	-5.62682	-9.23024	-2.61867	-6.43775	-5.62682	-9.23024
-28.3079	-2.0433	-9.21034	-7.82405	-9.23024	-2.0433	-9.21034	-7.82405	-9.23024
-22.837	-1.9885	-5.99146	-5.62682	-9.23024	-1.9885	-5.99146	-5.62682	-9.23024
-20.33	-2.61867	-3.4296	-5.05146	-9.23024	-2.61867	-3.4296	-5.05146	-9.23024
-22.4545	-2.54593	-5.05146	-5.62682	-9.23024	-2.54593	-5.05146	-5.62682	-9.23024
-24.2054	-2.09964	-5.05146	-7.82405	-9.23024	-2.09964	-5.05146	-7.82405	-9.23024
-26.978	-2.54593	-9.21034	-5.99146	-9.23024	-2.54593	-9.21034	-5.99146	-9.23024
-22.8191	-2.27887	-5.31852	-5.99146	-9.23024	-2.27887	-5.31852	-5.99146	-9.23024
-23.3945	-2.54593	-5.99146	-5.62682	-9.23024	-2.54593	-5.99146	-5.62682	-9.23024
-22.7489	-2.47575	-6.43775	-4.60517	-9.23024	-2.47575	-6.43775	-4.60517	-9.23024
-24.2781	-2.61867	-4.60517	-7.82405	-9.23024	-2.61867	-4.60517	-7.82405	-9.23024
-22.3165	-2.27887	-4.81589	-5.99146	-9.23024	-2.27887	-4.81589	-5.99146	-9.23024
-26.3463	-2.27887	-9.21034	-5.62682	-9.23024	-2.27887	-9.21034	-5.62682	-9.23024
-23.5121	-2.21733	-6.43775	-5.62682	-9.23024	-2.21733	-6.43775	-5.62682	-9.23024
-23.8768	-3.02826	-5.99146	-5.62682	-9.23024	-3.02826	-5.99146	-5.62682	-9.23024
-25.4141	-2.15762	-7.01312	-7.01312	-9.23024	-2.15762	-7.01312	-7.01312	-9.23024
-25.9	-1.83258	-7.82405	-7.01312	-9.23024	-1.83258	-7.82405	-7.01312	-9.23024
-22.2189	-2.0433	-5.62682	-5.31852	-9.23024	-2.0433	-5.62682	-5.31852	-9.23024
-20.7959	-2.09964	-4.41455	-5.05146	-9.23024	-2.09964	-4.41455	-5.05146	-9.23024
-23.4796	-2.93935	-5.99146	-5.31852	-9.23024	-2.93935	-5.99146	-5.31852	-9.23024
-24.1805	-2.61867	-5.31852	-7.01312	-9.23024	-2.61867	-5.31852	-7.01312	-9.23024
-25.0235	-2.34237	-7.01312	-6.43775	-9.23024	-2.34237	-7.01312	-6.43775	-9.23024
-31.336	-3.66516	-9.23024	-9.21034	-9.23024	-3.66516	-9.23024	-9.21034	-9.23024
-28.0724	-2.61867	-9.21034	-7.01312	-9.23024	-2.61867	-9.21034	-7.01312	-9.23024
-28.9787	-2.69415	-9.23024	-7.82405	-9.23024	-2.69415	-9.23024	-7.82405	-9.23024
-23.2344	-2.69415	-5.99146	-5.31852	-9.23024	-2.69415	-5.99146	-5.31852	-9.23024
-21.6575	-2.69415	-4.41455	-5.31852	-9.23024	-2.69415	-4.41455	-5.31852	-9.23024
-27.3541	-2.47575	-7.82405	-7.82405	-9.23024	-2.47575	-7.82405	-7.82405	-9.23024
-19.8787	-2.47575	-3.93223	-4.24053	-9.23024	-2.47575	-3.93223	-4.24053	-9.23024
-22.4905	-2.21733	-5.05146	-5.99146	-9.23024	-2.21733	-5.05146	-5.99146	-9.23024
-19.045	-2.27887	-3.1213	-4.41455	-9.23024	-2.27887	-3.1213	-4.41455	-9.23024
-22.6399	-2.09964	-5.31852	-5.99146	-9.23024	-2.09964	-5.31852	-5.99146	-9.23024
-29.204	-2.93935	-7.82405	-9.21034	-9.23024	-2.93935	-7.82405	-9.21034	-9.23024
-23.2654	-2.27887	-5.31852	-6.43775	-9.23024	-2.27887	-5.31852	-6.43775	-9.23024
-23.2565	-2.40795	-5.62682	-5.99146	-9.23024	-2.40795	-5.62682	-5.99146	-9.23024
-21.3116	-2.15762	-5.31852	-4.60517	-9.23024	-2.15762	-5.31852	-4.60517	-9.23024
-20.9751	-2.27887	-4.41455	-5.05146	-9.23024	-2.27887	-4.41455	-5.05146	-9.23024
-21.8175	-2.21733	-3.93223	-6.43775	-9.23024	-2.21733	-3.93223	-6.43775	-9.23024
-20.8465	-2.21733	-4.08044	-5.31852	-9.23024	-2.21733	-4.08044	-5.31852	-9.23024
-23.9073	-2.69415	-5.99146	-5.99146	-9.23024	-2.69415	-5.99146	-5.99146	-9.23024
-30.719	-3.02826	-9.23024	-9.23024	-9.23024	-3.02826	-9.23024	-9.23024	-9.23024
-25.9506	-2.69415	-7.01312	-7.01312	-9.23024	-2.69415	-7.01312	-7.01312	-9.23024
-30.6991	-3.02826	-9.23024	-9.21034	-9.23024	-3.02826	-9.23024	-9.21034	-9.23024
-22.8918	-2.61867	-5.99146	-5.05146	-9.23024	-2.61867	-5.99146	-5.05146	-9.23024
-22.0273	-2.27887	-4.08044	-6.43775	-9.23024	-2.27887	-4.08044	-6.43775	-9.23024
-30.812	-3.1213	-9.23024	-9.23024	-9.23024	-3.1213	-9.23024	-9.23024	-9.23024
-23.6372	-2.34237	-5.05146	-7.01312	-9.23024	-2.34237	-5.05146	-7.01312	-9.23024
-26.5203	-3.02826	-6.43775	-7.82405	-9.23024	-3.02826	-6.43775	-7.82405	-9.23024
-25.6205	-2.93935	-7.82405	-5.62682	-9.23024	-2.93935	-7.82405	-5.62682	-9.23024
-30.7921	-3.1213	-9.21034	-9.23024	-9.23024	-3.1213	-9.21034	-9.23024	-9.23024
-21.2132	-2.77259	-4.60517	-4.60517	-9.23024	-2.77259	-4.60517	-4.60517	-9.23024
