ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
0.259928	15.0955	12.5333	0	
0.295219	18.0087	19.9733	3	
na	0	0	0	
0.20975	1.85383	1.72	0	
0.593759	40.2547	61.0733	0	
0.340222	23.0405	22.5933	7	
0.219838	2.91317	2.08667	0	
0.181487	9.26917	6.88	2	
0.308325	21.1867	12.4133	0	
0.204195	16.4197	18.2267	4	
0.216759	20.3922	22.26	2	
0.152991	16.9493	16.5867	0	
0.333771	7.68017	8.15333	2	
0.329263	24.0998	29.92	1	
0.312302	11.6527	12.28	7	
0.251961	14.0362	8.60667	2	
0.212206	1.589	1.17333	0	
0.243514	15.0955	13.5267	0	
na	0	0	0	
0.319555	23.5702	26.8	3	
0.384103	25.1592	31.9467	2	
0.14777	17.7438	14.74	1	
0.0923458	3.70767	3.1	0	
0.271042	21.4515	24.2267	5	
0.221421	11.123	10.4467	0	
0.273725	21.1867	24.18	6	
0.217045	14.0362	10.3867	1	
0.227702	6.88567	7.74667	1	
0.0966116	7.945	6.61333	1	
0.229435	15.3603	16.1333	4	
0.215758	6.356	7.3	1	
0.202653	19.3328	13.54	4	
0.0165631	0.529667	0.433333	0	
0.510371	10.5933	12.94	0	
na	0.264833	0.5	0	
0.365903	2.64833	2.64	0	
0.0524595	15.3603	10.3067	0	
0.476525	18.2735	15.22	0	
0.172547	7.68017	6.08667	2	
0.189422	13.5065	13.1867	1	
0.0312791	1.589	1.66667	1	
0.177009	11.123	10.62	0	
0.242504	3.44283	2.97333	0	
0.292265	5.03184	5.96667	0	
0.20416	19.5977	15.06	2	
0.3029	12.4472	16.68	0	
0.338298	1.05933	0.62	0	
0.469342	1.589	2.56667	0	
0.23769	9.00434	6.49333	0	
0.267289	1.32417	1.38667	0	
0.532626	14.5658	17.86	0	
na	0	0	0	
0.0331045	3.44283	2.76667	0	
0.143639	4.23734	3.76	2	
0.30147	13.7713	15.0533	1	
0.246596	8.47467	6.24	4	
0.122193	11.3878	12.0533	7	
0.138764	8.20984	5.26	1	
0.274764	12.4472	9.64	2	
0.228884	29.1317	34.9133	0	
0.153707	17.7438	16.0333	1	
na	0.264833	0.153333	0	
0.182586	16.9493	15.7533	7	
0.255257	30.9855	37.3667	7	
0.227029	20.657	23.68	1	
0.1215	17.7438	14.8133	0	
0.130865	3.70767	3.56	1	
0.160329	7.945	5.63333	1	
0.227599	14.0362	13.9867	5	
0.16088	19.3328	18.9333	3	
0.273535	16.1548	15.72	7	
0.136368	23.5702	22.06	6	
0.487172	38.6657	57.28	4	
0.13514	13.7713	12.9533	8	
0.341747	2.64833	3.28667	1	
0.107933	13.5065	11.78	0	
0.179173	13.2417	13.3	0	
0.357965	11.6527	10.1867	0	
0.255428	21.1867	27.4933	0	
0.400578	18.5383	14.52	0	
0.349865	38.136	45.28	1	
0.144647	4.767	4.63333	0	
0.372151	15.3603	20.8133	1	
0.0774666	8.47467	5.47333	0	
0.285187	11.3878	10.3267	4	
0.364081	27.2778	35.06	5	
0.333909	23.5702	24.5733	2	
0.190485	14.301	14.8	2	
0.296793	1.32417	1.60667	0	
na	0.264833	0.153333	0	
0.334834	26.2185	34.94	0	
0.112057	2.64833	2.35333	1	
0.100266	18.8032	17.3733	1	
0.178946	12.1823	10.96	1	
0.229751	21.4515	20.6933	6	
0.32954	5.03184	2.48667	0	
0.305157	20.657	15.3467	0	
0.124494	3.9725	4.76	0	
0.290392	29.9262	26.6067	7	
0.265185	6.356	6.09333	0	
0.319106	11.6527	14.4533	0	
0.192313	20.3922	18.4267	1	
0.349153	33.6338	24.12	2	
0.242419	25.9537	22.7133	3	
