mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:32:31 2008 

Input data from the file: ex03.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 7864

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             20
Thetaw:                5
No_rec_males:          0
Recombination:         10
Nintn:                 3
Iflogistic:            1
Ts:                    0.025
Nrec:                  1 0.1 2
Npast:                 0.1 0.1 2
Tpast:                 0.05 0.01 1


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
0.656996	6.01866	0.499581	0.635918	0.745512	0.872901	-7.22105	0.428571	0.551724	0.569653	na	0.3	0.721053	0.16072	29	0	0	8.17422	9.54737	16.7684	0.260351	-1.49192	0.5	0.7	1	5	13.1579	2.07545	0.315	na	0.418964	
-2.1421	0.282445	-2.59948	-2.86727	-1.97576	-2.47048	-14.4842	0.68	0.730769	0.698677	na	0.35	0.521053	0.135504	26	0	0	7.32861	3.28421	17.7684	-0.855304	-3.30137	0.7	0.75	0	15	10.5263	1.45839	0.505	na	2.74038	
0.823355	8.69884	0.442201	0.647949	0.444668	0.699019	-0.0105263	0.4	0.634146	0.508467	na	0.3	0.805263	0.162468	41	0	0	11.5567	13.9421	13.9526	0.319909	-0.00158355	0.3	0.3	5	9	13.9474	0.740088	0.235	na	0.215176	
2.09119	4.27451	1.53353	1.97012	1.72165	2.22172	0.305263	0.333333	0.4375	0.484386	na	0.3	0.826316	0.22023	16	0	0	4.50991	7.04737	6.74211	0.872003	0.106301	0.3	0.4	0	0	6.89474	1.602	0.215	na	0.709485	
1.37351	7.89255	1.49975	1.70273	1.74543	1.97949	-2.38947	0.5625	0.666667	0.644332	na	0.3	0.810526	0.188632	33	0	0	9.3017	12.5421	14.9316	0.539915	-0.438995	0.35	0.5	0	1	13.7368	1.65589	0.23	na	0.717583	
2.65507	8.41714	1.2105	1.89582	1.33991	2.12217	-0.221053	0.8	0.8125	0.819378	na	0.2	0.7	0.238876	16	0	0	4.50991	7.73158	7.95263	1.10713	-0.0769767	0.45	0.5	0	1	7.84211	2.2384	0.335	na	1.55208	
-0.351772	4.77942	-1.08707	-1.01075	-0.546584	-0.58855	-10.6947	0.473684	0.564103	0.541312	na	0.35	0.678947	0.140758	39	0	0	10.9929	10.0211	20.7158	-0.137019	-1.68517	0.55	0.6	1	14	15.3684	1.41485	0.355	na	0.698529	
0.424018	11.3167	-0.744975	-0.460297	-0.269869	-0.0440929	-7.02105	0.434783	0.510638	0.54923	na	0.25	0.631579	0.163413	47	0	0	13.2479	14.6474	21.6684	0.163725	-0.929996	0.55	0.6	1	15	18.1579	1.34784	0.4	na	0.477902	
1.09129	5.97688	1.50866	1.61228	1.7587	1.87632	-5.22105	0.363636	0.5	0.51014	na	0.35	0.789474	0.178521	34	0	0	9.58357	12.2316	17.4526	0.428234	-0.933383	0.4	0.45	2	1	14.8421	1.91391	0.25	na	0.327022	
0.407296	5.28531	1.45456	1.32998	1.71083	1.55736	-6.68421	0.568182	0.622222	0.660094	na	0.4	0.784211	0.153186	45	0	0	12.6841	13.9737	20.6579	0.157567	-0.922104	0.45	0.55	2	2	17.3158	1.32127	0.255	na	0.715631	
0.827458	6.12103	1.4697	1.48887	1.73244	1.74792	-4.04211	0.282609	0.404255	0.38477	na	0.4	0.815789	0.167982	47	0	0	13.2479	15.9789	20.0211	0.319504	-0.53541	0.4	0.4	5	2	18	1.3045	0.225	na	0.187747	
-0.442245	2.33169	-1.56302	-1.43305	-1.71672	-1.58246	-1.49474	0.608696	0.75	0.682856	na	0.35	0.836842	0.138668	24	0	0	6.76487	5.98947	7.48421	-0.177645	-0.365896	0.3	0.4	1	13	6.73684	-0.0136521	0.205	na	0.500879	
-0.476253	0.570101	-1.20487	-1.15307	-0.456193	-0.555092	-4.31579	0.5	0.727273	0.552976	na	0.3	0.736842	0.13775	11	0	0	3.10057	2.68421	7	-0.208119	-2.04993	0.4	0.45	1	4	4.84211	1.54637	0.3	na	0.745098	
1.7298	15.3552	1.30762	1.67237	1.53754	1.96507	1.86316	0.277778	0.4	0.489292	na	0.25	0.752632	0.19829	55	0	0	15.5028	22.1421	20.2789	0.66374	0.212889	0.4	0.4	5	4	21.2105	1.36164	0.285	na	0.225814	
0.558239	2.25072	1.24029	1.20781	1.43394	1.39511	-0.726316	0.324324	0.447368	0.472119	na	0.5	0.852632	0.157068	38	0	0	10.711	12.2158	12.9421	0.21773	-0.117225	0.35	0.4	3	3	12.5789	0.617766	0.19	na	0.409306	
1.9636	8.16146	1.61061	2.00099	1.91429	2.36611	-4.28421	0.46	0.568627	0.612133	na	0.4	0.878947	0.208712	51	0	0	14.3754	21.3842	25.6684	0.755644	-0.525621	0.25	0.3	4	1	23.5263	2.33594	0.165	na	0.14029	
-1.5961	5.01995	0.206813	-0.380989	0.651336	-0.104228	-14.9158	0.730769	0.814815	0.8042	na	0.2	0.284211	0.0778441	27	0	0	7.61048	4.48947	19.4053	-0.635581	-3.28663	0.85	0.9	0	5	11.9474	1.91707	0.73	na	3.78664	
2.48292	5.59782	1.31489	1.93554	1.51558	2.23948	1.52632	0.451613	0.46875	0.587909	na	0.4	0.863158	0.226921	32	0	0	9.01983	14.7105	13.1842	0.977812	0.288399	0.3	0.35	1	2	13.9474	1.88852	0.18	na	0.883721	
-1.49889	3.12851	-1.1086	-1.42377	-0.0647383	-0.64629	-13.6211	0.478261	0.541667	0.516484	na	0.25	0.652632	0.117085	24	0	0	6.76487	4.13684	17.7579	-0.602086	-3.33429	0.55	0.6	0	7	10.9474	2.03721	0.38	na	1.93384	
0.718091	2.40391	0.911761	0.99449	1.01678	1.11935	-2.2	0.206897	0.266667	0.372446	na	0.45	0.863158	0.161676	30	0	0	8.45609	10.0053	12.2053	0.283935	-0.440802	0.35	0.45	2	4	11.1053	1.07226	0.18	na	0.0999474	
1.02903	9.89741	0.547163	0.804493	0.77232	1.04731	-3.97895	0.352941	0.514286	0.486158	na	0.25	0.763158	0.17317	35	0	0	9.86544	12.4316	16.4105	0.403137	-0.692679	0.4	0.4	3	6	14.4211	1.6174	0.275	na	0.321761	
-0.501896	4.57287	1.37414	0.954287	1.56373	1.08495	-9.25263	0.590909	0.652174	0.686655	na	0.25	0.678947	0.120739	23	0	0	6.483	5.63684	14.8895	-0.202285	-2.35201	0.5	0.8	0	1	10.2632	1.90618	0.355	na	0.709617	
2.01972	3.89905	1.17706	1.65172	1.29573	1.83934	0.978947	0.428571	0.6	0.552901	na	0.3	0.810526	0.215228	15	0	0	4.22804	6.54211	5.56316	0.848249	0.36002	0.35	0.35	1	1	6.05263	1.28761	0.23	na	0.458568	
