mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:35:15 2008 

Input data from the file: ex10.txt

Print_neuttest:        1
Print_matrixpol:       0
Mhits:                 1
Dist_out:              8.000000
Mhratio_sv:            0.5
Seed2:                 546
N_iterations:          1000
Seed1:                 539

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Thetaw:                10
No_rec_males:          0
Recombination:         10


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
0.119527	-1.78686	0.45168	0.404992	0.464861	0.416199	-3.9908	0.228571	0.416667	0.279467	na	0.566667	0.947126	0.125231	36	0	0	9.08711	9.38391	13.3747	0.044383	-0.725484	0.166667	0.166667	5	7	11.3793	0.812296	0.0844444	na	0.106565	
1.09127	0.221306	0.926032	1.15791	1.19835	1.41651	-2.51034	0.0566038	0.0925926	0.222372	na	0.6	0.949425	0.158971	54	0	0	13.6307	17.6069	20.1172	0.396407	-0.313254	0.166667	0.166667	7	6	18.8621	1.29851	0.0822222	na	0.0567959	
0.428896	-0.00349579	0.305127	0.407446	0.291545	0.414674	0.450575	0.111111	0.189189	0.200738	na	0.5	0.935632	0.134844	37	0	0	9.33953	10.4322	9.98161	0.15898	0.0798797	0.2	0.233333	5	8	10.2069	0.300211	0.0955556	na	0.0958572	
0.178609	-8.37163	-0.551886	-0.37031	-0.721876	-0.488947	2.05057	0.117647	0.171429	0.185911	na	0.766667	0.974713	0.121983	35	0	0	8.83469	9.26667	7.21609	0.0664434	0.382493	0.133333	0.133333	4	12	8.24138	-0.215396	0.0577778	na	0.107914	
0.222377	-3.60248	-0.024105	0.0660875	-0.0976037	0.0193939	2.83218	0.030303	0.0588235	0.136881	na	0.633333	0.956322	0.127176	34	0	0	8.58227	9.10575	6.27356	0.0828856	0.542436	0.166667	0.2	3	9	7.68966	-0.332182	0.0755556	na	0.109821	
-0.203788	-5.09872	-1.55252	-1.31642	-1.87385	-1.56685	0.928736	0.12	0.230769	0.14582	na	0.6	0.935632	0.10598	26	0	0	6.56292	6.18851	5.25977	-0.0775243	0.226473	0.2	0.2	4	13	5.72414	-0.390893	0.0955556	na	0.16159	
-0.487482	-3.12601	0.735021	0.398203	0.797629	0.416529	-1.57241	0.125	0.242424	0.220531	na	0.566667	0.947126	0.104859	33	0	0	8.32985	7.21379	8.78621	-0.18207	-0.309448	0.166667	0.233333	2	5	8	-0.125913	0.0844444	na	0.277247	
0.392047	-0.313651	-0.154641	0.0233742	0.103683	0.244956	0.478161	0.1	0.142857	0.242784	na	0.4	0.855172	0.135582	21	0	0	5.30082	5.89425	5.41609	0.152131	0.140703	0.333333	0.366667	3	5	5.65517	0.196382	0.173333	na	0.169657	
-0.107496	-1.48106	0.412727	0.286945	0.418418	0.281689	1.14943	0.117647	0.2	0.184473	na	0.533333	0.91954	0.117851	35	0	0	8.83469	8.57471	7.42529	-0.0399888	0.214402	0.233333	0.233333	2	7	8	-0.303026	0.111111	na	0.116622	
-0.666686	-1.57189	-1.93146	-1.79477	-2.30991	-2.108	0.11954	0.0833333	0.16	0.118438	na	0.433333	0.903448	0.0928015	25	0	0	6.3105	5.12874	5.0092	-0.25448	0.0301827	0.233333	0.3	0	14	5.06897	-0.597532	0.126667	na	0.19498	
1.10715	-0.355463	1.36141	1.50747	1.53798	1.68516	3.68736	0.212121	0.382353	0.305224	na	0.533333	0.944828	0.162742	34	0	0	8.58227	11.1885	7.50115	0.412665	0.706224	0.166667	0.166667	3	2	9.34483	0.283779	0.0866667	na	0.178755	
0.955282	-1.45134	0.254183	0.56562	0.230234	0.586766	1.05747	0.192308	0.296296	0.347155	na	0.533333	0.944828	0.156123	27	0	0	6.81534	8.63218	7.57471	0.362259	0.249338	0.166667	0.233333	2	6	8.10345	0.581874	0.0866667	na	0.231691	
-0.332196	-4.55175	-0.780187	-0.747614	-0.79517	-0.766857	2.78621	0.128205	0.25	0.175207	na	0.666667	0.965517	0.106468	40	0	0	10.0968	9.18621	6.4	-0.122553	0.459782	0.133333	0.166667	4	14	7.7931	-0.745327	0.0666667	na	0.108859	
-0.0822764	-6.38755	-0.266347	-0.243221	-0.387725	-0.339116	5.94943	0.025641	0.05	0.108781	na	0.733333	0.977011	0.115141	40	0	0	10.0968	9.87126	3.92184	-0.0303533	0.981779	0.1	0.133333	4	12	6.89655	-1.03539	0.0555556	na	0.101304	
-0.210348	-3.55184	-0.890641	-0.789292	-0.400064	-0.404851	-2.23448	0.03125	0.0606061	0.0775699	na	0.6	0.954023	0.10939	33	0	0	8.32985	7.84828	10.0828	-0.0785628	-0.439742	0.133333	0.166667	2	10	8.96552	0.242648	0.0777778	na	0.127417	
-0.0126434	-7.02407	-0.838293	-0.67241	-0.296406	-0.238596	-2.1977	0.1	0.16129	0.209805	na	0.7	0.974713	0.117267	31	0	0	7.82501	7.7977	9.9954	-0.00474333	-0.457714	0.1	0.133333	3	9	8.89655	0.431264	0.0577778	na	0.128243	
-0.834151	-6.52124	-1.48228	-1.4991	-1.80999	-1.78149	-1.05747	0.0666667	0.129032	0.0965421	na	0.633333	0.947126	0.0846793	31	0	0	7.82501	6.02299	7.08046	-0.312942	-0.220239	0.166667	0.2	2	15	6.55172	-0.512464	0.0844444	na	0.166031	
-0.581802	-2.96483	0.0268816	-0.201938	-0.0376994	-0.281278	1.82069	0	0	0.077291	na	0.566667	0.917241	0.0997847	35	0	0	8.83469	7.42759	5.6069	-0.216433	0.339613	0.266667	0.266667	5	9	6.51724	-0.841325	0.113333	na	0.134633	
-1.51259	-6.28984	-0.552632	-1.01466	-0.70944	-1.19986	3.01609	0.24	0.423077	0.261406	na	0.533333	0.926437	0.0667392	26	0	0	6.56292	3.78391	0.767816	-0.575414	0.735476	0.233333	0.333333	1	9	2.27586	-1.99788	0.104444	na	0.264277	
-0.137917	0.618757	-0.971753	-0.823474	-1.23983	-1.026	-3.48506	0.183673	0.3	0.251395	na	0.5	0.94023	0.117236	50	0	0	12.621	12.154	15.6391	-0.0502784	-0.46743	0.166667	0.2	3	20	13.8966	0.339136	0.0911111	na	0.329109	
-0.5488	2.00689	-0.648719	-0.727049	-0.676226	-0.76914	-7.27356	0.148936	0.25	0.22472	na	0.4	0.774713	0.0992982	48	0	0	12.1162	10.3287	17.6023	-0.200469	-1.01349	0.466667	0.5	2	16	13.9655	0.509844	0.251111	na	0.193635	
1.28919	-2.47565	0.512736	0.890374	0.523065	0.941788	0.643678	0.25	0.470588	0.330792	na	0.5	0.912644	0.168809	17	0	0	4.29114	5.90805	5.26437	0.512036	0.227125	0.233333	0.233333	3	3	5.58621	0.847359	0.117778	na	0.169261	
-1.60418	-7.92403	-2.17825	-2.34452	-2.52703	-2.67113	0.744828	0	0	0.0345413	na	0.466667	0.889655	0.059017	16	0	0	4.03872	2.13103	1.38621	-0.641874	0.276636	0.3	0.433333	0	10	1.75862	-1.56306	0.14	na	0.469256	
0.734929	-1.44781	0.0322094	0.308767	0.175763	0.457896	1.14023	0.105263	0.153846	0.209917	na	0.6	0.956322	0.144003	39	0	0	9.84437	11.8115	10.6713	0.271538	0.192602	0.133333	0.133333	4	9	11.2414	0.462025	0.0755556	na	0.0846633	
0.269941	-0.126064	0.496181	0.498361	0.512614	0.519121	-2.17011	0.0769231	0.111111	0.183375	na	0.433333	0.829885	0.130278	27	0	0	6.81534	7.32874	9.49885	0.102366	-0.511685	0.4	0.433333	2	5	8.41379	0.722064	0.197778	na	0.136449	
-0.593017	-2.27954	0.0762125	-0.168185	0.019719	-0.243534	3.63218	0.102564	0.175	0.157153	na	0.566667	0.947126	0.0986898	40	0	0	10.0968	8.47126	4.83908	-0.218775	0.599386	0.133333	0.166667	1	10	6.65517	-1.11349	0.0844444	na	0.118046	
-0.343927	-2.45634	0.947199	0.625589	1.03717	0.674228	-1.51724	0.12	0.230769	0.219079	na	0.5	0.935632	0.110815	26	0	0	6.56292	5.93103	7.44828	-0.130836	-0.36998	0.2	0.266667	2	3	6.68966	0.059064	0.0955556	na	0.337209	
-0.631455	-0.45823	-0.372505	-0.539041	-0.299625	-0.509349	-5.28736	0.108108	0.184211	0.193406	na	0.466667	0.905747	0.0979732	38	0	0	9.59195	7.94253	13.2299	-0.233675	-0.914702	0.233333	0.233333	2	11	10.5862	0.336301	0.124444	na	0.125904	
1.33528	0.228589	-0.134459	0.403733	-0.226705	0.395649	0.303448	0.387097	0.53125	0.472006	na	0.5	0.908046	0.164278	32	0	0	8.07743	11.0483	10.7448	0.499797	0.061409	0.266667	0.4	1	9	10.8966	1.10458	0.122222	na	0.181024	
-0.349019	-4.85996	0.115609	-0.0434302	0.250221	0.0416004	-6.5931	0.159091	0.311111	0.28526	na	0.7	0.977011	0.107794	45	0	0	11.3589	10.2897	16.8828	-0.127916	-0.975596	0.1	0.133333	4	10	13.5862	0.650059	0.0555556	na	0.097185	
0.792177	-1.4577	0.251355	0.508199	0.229227	0.532479	1.54483	0.163934	0.306452	0.278089	na	0.7	0.970115	0.145715	62	0	0	15.65	18.9448	17.4	0.286089	0.169217	0.1	0.133333	7	14	18.1724	0.552767	0.0622222	na	0.0527849	
0.0286712	-0.899643	0.776621	0.630165	0.841113	0.675574	-0.441379	0.111111	0.214286	0.169568	na	0.466667	0.864368	0.123055	28	0	0	7.06776	7.12414	7.56552	0.0108405	-0.100742	0.333333	0.333333	4	4	7.34483	0.121439	0.164444	na	0.140368	
-0.207236	-5.41647	0.247492	0.116597	0.427163	0.243534	2.29885	0.102564	0.2	0.140724	na	0.7	0.970115	0.112566	40	0	0	10.0968	9.52874	7.22989	-0.0764533	0.379358	0.133333	0.166667	4	8	8.37931	-0.555668	0.0622222	na	0.104946	
0.437098	-1.08974	0.606716	0.64992	0.638678	0.689205	2.57471	0.0869565	0.166667	0.212581	na	0.466667	0.905747	0.136941	24	0	0	6.05808	6.8046	4.22989	0.167454	0.673981	0.233333	0.266667	1	4	5.51724	-0.269122	0.124444	na	0.146959	
0.739555	-0.160096	1.30544	1.32144	1.49724	1.49247	3.56782	0.115385	0.188679	0.206789	na	0.6	0.967816	0.148884	53	0	0	13.3783	16.0253	12.4575	0.268873	0.453097	0.1	0.133333	3	4	14.2414	0.217857	0.0644444	na	0.0624014	
0.577948	-0.568674	-0.408967	-0.104886	-0.548669	-0.183851	2.35402	0.133333	0.193548	0.230961	na	0.5	0.921839	0.13771	31	0	0	7.82501	9.07356	6.71954	0.216824	0.490272	0.233333	0.266667	2	10	7.89655	0.0287916	0.108889	na	0.11021	
-0.282783	-4.91218	0.909425	0.615777	1.00196	0.666075	4.41379	0	0	0.0405599	na	0.633333	0.965517	0.113003	32	0	0	8.07743	7.44828	3.03448	-0.105846	0.893222	0.1	0.133333	4	4	5.24138	-1.11122	0.0666667	na	0.134259	
0.0727438	-0.8024	-0.142999	-0.085548	-0.0323949	0.00636486	-6.47356	0.184211	0.25641	0.239315	na	0.533333	0.91954	0.121215	39	0	0	9.84437	10.0391	16.5126	0.026877	-1.09348	0.233333	0.233333	4	10	13.2759	1.13488	0.111111	na	0.298832	
1.17235	1.00024	1.10389	1.32866	1.24205	1.48318	0.827586	0.179487	0.275	0.305336	na	0.5	0.935632	0.163395	40	0	0	10.0968	13.3103	12.4828	0.432503	0.136569	0.166667	0.166667	3	4	12.8966	0.905823	0.0955556	na	0.225389	
0.967503	0.158863	0.569686	0.824128	0.603362	0.891276	-0.349425	0.212121	0.323529	0.315552	na	0.5	0.94023	0.154269	34	0	0	8.58227	10.8598	11.2092	0.360614	-0.066924	0.166667	0.166667	2	6	11.0345	0.912573	0.0911111	na	0.092083	
-0.549724	-2.07563	-0.101952	-0.286519	-0.177103	-0.365921	-2.36322	0.0588235	0.111111	0.167221	na	0.4	0.802299	0.10003	18	0	0	4.54356	3.81839	6.18161	-0.216885	-0.794259	0.433333	0.533333	3	5	5	0.285686	0.224444	na	0.26189	
-0.344775	-1.90458	0.0762125	-0.0724489	0.019719	-0.135134	3.06207	0.025641	0.05	0.101781	na	0.566667	0.933333	0.107106	40	0	0	10.0968	9.15172	6.08966	-0.127194	0.505305	0.233333	0.266667	3	10	7.62069	-0.801109	0.0977778	na	0.109269	
-0.484052	-5.59611	-0.62363	-0.681557	-0.800932	-0.837596	3.42069	0.1	0.193548	0.169663	na	0.633333	0.958621	0.0997952	31	0	0	7.82501	6.77931	3.35862	-0.181598	0.712426	0.133333	0.166667	1	11	5.06897	-1.10923	0.0733333	na	0.147508	
-0.562769	-1.53863	-0.143225	-0.321997	-0.217988	-0.39923	-0.468966	0.0769231	0.142857	0.107804	na	0.333333	0.878161	0.100156	14	0	0	3.53388	2.93793	3.4069	-0.229162	-0.194716	0.266667	0.4	1	4	3.17241	-0.274147	0.151111	na	0.340376	
-0.821413	-2.63702	-2.32865	-2.16447	-2.6841	-2.45398	-1.65517	0.152174	0.297872	0.192726	na	0.6	0.889655	0.0880488	47	0	0	11.8637	9.24138	10.8966	-0.30037	-0.235204	0.333333	0.366667	4	27	10.069	-0.5041	0.14	na	0.108209	
-0.627603	-2.89133	0.263517	-0.0316595	0.242132	-0.0822765	-1.28736	0.0857143	0.138889	0.163591	na	0.566667	0.958621	0.0981941	36	0	0	9.08711	7.52874	8.81609	-0.233042	-0.234027	0.1	0.166667	3	8	8.17241	-0.324147	0.0733333	na	0.132824	
0.588923	-1.64419	0.125398	0.32533	0.0790129	0.315749	3.35632	0.15625	0.242424	0.23578	na	0.566667	0.949425	0.139863	33	0	0	8.32985	9.67816	6.32184	0.219957	0.660518	0.166667	0.166667	2	8	8	-0.125913	0.0822222	na	0.103325	
-0.760726	-7.66272	-1.05296	-1.12915	-1.30546	-1.35311	0.294253	0.1	0.193548	0.225022	na	0.666667	0.958621	0.0899438	31	0	0	7.82501	6.18161	5.88736	-0.285395	0.0612839	0.166667	0.166667	1	13	6.03448	-0.720639	0.0733333	na	0.16177	
-0.0955717	-0.222903	0.0403962	-0.00502456	0.330493	0.215379	3.25517	0.0434783	0.0638298	0.150795	na	0.533333	0.931034	0.117395	47	0	0	11.8637	11.5586	8.30345	-0.0349482	0.462568	0.2	0.266667	7	10	9.93103	-0.542841	0.1	na	0.0865155	
0.86494	-0.508592	0.395008	0.642846	0.694068	0.913338	0.23908	0.166667	0.32	0.295669	na	0.466667	0.898851	0.151298	25	0	0	6.3105	7.84368	7.6046	0.330155	0.0603654	0.233333	0.333333	2	4	7.72414	0.680367	0.131111	na	0.127491	
-0.654957	-0.0836513	0.322488	0.0029393	0.312962	-0.0424566	-9.5908	0.292683	0.47619	0.430122	na	0.466667	0.834483	0.0978831	42	0	0	10.6016	8.72184	18.3126	-0.240949	-1.51294	0.4	0.5	3	9	13.5172	0.90403	0.193333	na	0.229309	
0.0644596	-2.4848	0.496181	0.420313	0.512614	0.432003	-3.22759	0.115385	0.185185	0.222513	na	0.533333	0.933333	0.123084	27	0	0	6.81534	6.93793	10.1655	0.0244441	-0.761023	0.2	0.266667	2	5	8.55172	0.784371	0.0977778	na	0.144135	
-0.867388	-8.07121	-0.677303	-0.871703	-0.871513	-1.05916	2.14253	0.0571429	0.111111	0.105596	na	0.7	0.965517	0.0865728	36	0	0	9.08711	6.93333	4.7908	-0.322079	0.389488	0.133333	0.133333	3	13	5.86207	-1.14287	0.0666667	na	0.144231	
0.0414152	-4.8808	0.653504	0.537546	0.994466	0.804087	-5.64598	0.0833333	0.16	0.148232	na	0.6	0.956322	0.123098	25	0	0	6.3105	6.38391	12.0299	0.0158085	-1.42555	0.133333	0.233333	3	3	9.2069	1.394	0.0755556	na	0.156644	
1.45397	1.33096	0.709173	1.12775	0.933095	1.37243	-3.86207	0.218182	0.357143	0.368026	na	0.566667	0.947126	0.170275	56	0	0	14.1355	19.6207	23.4828	0.527311	-0.465719	0.166667	0.2	2	8	21.5517	1.7817	0.0844444	na	0.101933	
0.117083	-0.917569	-0.134459	-0.0622496	0.0190283	0.0652754	0.0551724	0.0322581	0.0625	0.108989	na	0.5	0.928736	0.122284	32	0	0	8.07743	8.33793	8.28276	0.0438243	0.0111653	0.2	0.266667	4	8	8.31034	0.0912586	0.102222	na	0.239868	
-0.46809	-8.23277	-0.838293	-0.846407	-1.0532	-1.0292	0.524138	0.0333333	0.0645161	0.0784358	na	0.7	0.963218	0.0993288	31	0	0	7.82501	6.81379	6.28966	-0.17561	0.109162	0.133333	0.166667	4	12	6.55172	-0.512464	0.0688889	na	0.293522	
0.529681	0.276703	0.735021	0.787753	0.797629	0.854686	-0.432184	0.15625	0.272727	0.214775	na	0.466667	0.917241	0.140644	33	0	0	8.32985	9.54253	9.97471	0.197831	-0.085053	0.2	0.233333	2	5	9.75862	0.545394	0.113333	na	0.209588	
1.01942	-0.844303	0.263517	0.601174	0.464861	0.80631	-0.211494	0.142857	0.25	0.277823	na	0.566667	0.917241	0.154615	36	0	0	9.08711	11.6184	11.8299	0.378531	-0.0384473	0.266667	0.3	3	7	11.7241	0.934494	0.113333	na	0.0860704	
-0.0906914	-3.50096	-1.02341	-0.846915	-1.29421	-1.04977	-2.53793	0.116279	0.227273	0.228243	na	0.666667	0.949425	0.111137	44	0	0	11.1065	10.8345	13.3724	-0.0332785	-0.383465	0.166667	0.2	3	18	12.1034	0.296782	0.0822222	na	0.0922979	
-0.92188	-2.3105	-1.44844	-1.50566	-1.78919	-1.80187	-0.735632	0.135135	0.210526	0.213366	na	0.533333	0.935632	0.0906213	38	0	0	9.59195	7.18391	7.91954	-0.34115	-0.127263	0.166667	0.3	1	18	7.55172	-0.690098	0.0955556	na	0.4176	
0.391296	-1.94786	0.213108	0.320918	0.345119	0.442029	6.38161	0.0392157	0.0769231	0.138169	na	0.666667	0.958621	0.132544	52	0	0	13.1258	14.5011	8.11954	0.142385	0.825051	0.166667	0.166667	9	11	11.3103	-0.466106	0.0733333	na	0.0689601	
0.183689	2.48969	0.99959	0.864131	1.12102	0.955799	-2.17931	0.238095	0.372093	0.304592	na	0.4	0.901149	0.129033	43	0	0	10.8541	11.3931	13.5724	0.0674877	-0.336375	0.233333	0.233333	3	5	12.4828	0.494714	0.128889	na	0.175545	
0.168797	-4.72981	0.743743	0.658755	0.793024	0.700235	3.18161	0.15	0.238095	0.177445	na	0.566667	0.954023	0.128917	21	0	0	5.30082	5.55632	2.37471	0.0655005	0.936218	0.133333	0.166667	3	3	3.96552	-0.740015	0.0777778	na	0.179975	
-0.0959207	-1.70721	0.339084	0.234693	0.638678	0.465496	-1.03908	0.0869565	0.125	0.136357	na	0.466667	0.917241	0.117383	24	0	0	6.05808	5.89425	6.93333	-0.0367475	-0.272	0.2	0.2	3	4	6.41379	0.177007	0.113333	na	0.169657	
-0.135061	-6.29719	-0.166041	-0.183878	-0.265758	-0.266885	1.49885	0.0588235	0.114286	0.161792	na	0.7	0.96092	0.113308	35	0	0	8.83469	8.50805	7.0092	-0.0502431	0.27958	0.166667	0.2	4	10	7.75862	-0.390656	0.0711111	na	0.117536	
0.636181	-2.55377	0.254183	0.444416	0.230234	0.451477	0.533333	0.153846	0.259259	0.280231	na	0.566667	0.951724	0.142947	27	0	0	6.81534	8.02529	7.49195	0.24125	0.125753	0.166667	0.266667	6	6	7.75862	0.426106	0.08	na	0.124606	
0.296796	-0.458385	0.761332	0.71899	0.834608	0.782238	1.13103	0.0512821	0.1	0.138612	na	0.533333	0.947126	0.131917	40	0	0	10.0968	10.9103	9.77931	0.109494	0.186644	0.133333	0.133333	3	6	10.3448	0.080248	0.0844444	na	0.0916561	
0.275577	0.081168	0.339084	0.375051	0.32835	0.375673	-2.11494	0.26087	0.375	0.317264	na	0.4	0.878161	0.130446	24	0	0	6.05808	6.52874	8.64368	0.105575	-0.553627	0.3	0.433333	2	5	7.58621	0.760407	0.151111	na	0.306338	
0.292791	-5.36938	-0.0367306	0.0824458	-0.110766	0.0379939	-2.17931	0.0344828	0.0666667	0.154636	na	0.666667	0.972414	0.128972	30	0	0	7.5726	8.18621	10.3655	0.110112	-0.467517	0.1	0.2	4	8	9.27586	0.704695	0.06	na	0.122157	
-0.869043	-6.11082	-0.890641	-1.04156	-0.639603	-0.876745	-6.07816	0.09375	0.181818	0.133285	na	0.633333	0.965517	0.0874888	33	0	0	8.32985	6.34023	12.4184	-0.324579	-1.19617	0.133333	0.2	2	11	9.37931	0.400602	0.0666667	na	0.157723	
0.196222	-1.59651	0.357627	0.359613	0.355041	0.363279	-7.48506	0.142857	0.27907	0.257166	na	0.6	0.951724	0.126948	43	0	0	10.8541	11.4299	18.9149	0.0720927	-1.15531	0.166667	0.2	5	9	15.1724	1.31169	0.08	na	0.43745	
-0.88506	-5.91815	-1.40962	-1.46066	-1.73319	-1.7425	-3.2092	0.030303	0.0588235	0.0587884	na	0.633333	0.96092	0.0846973	34	0	0	8.58227	6.49885	9.70805	-0.329885	-0.614644	0.133333	0.2	2	16	8.10345	-0.178192	0.0711111	na	0.153873	
0.240259	-1.34528	0.0730476	0.149647	0.0185771	0.116821	-1.1954	0.148148	0.214286	0.20819	na	0.5	0.91954	0.127547	28	0	0	7.06776	7.54023	8.73563	0.0908415	-0.272843	0.2	0.333333	3	7	8.13793	0.469051	0.111111	na	0.132622	
