ZnA[0]	ZnA[1]	ZnA[2]	ZnA[3]	
0.128649	0.157785	0.172671	0.261932	
0.0837834	0.232716	0.112634	0.124801	
0.0797054	0.133873	0.066499	0.188522	
0.0719561	0.282187	0.0829941	0.0836383	
0.0312235	0.214506	0.0747867	0.159401	
0.0304771	0.442681	0.0721139	0.230854	
0.112795	0.318783	0.0285757	0.285165	
0.0176293	0.157407	0.231931	0.256828	
0.110656	0.0123457	0.100152	0.343241	
0.267145	0.285935	0.106193	0.104706	
0.02466	0.217341	0.222252	0.14735	
0.127896	0.146384	0.0551752	0.0727273	
0.0724204	0.225926	0.209932	0.0685644	
0.0258629	0.369048	0.133062	0.167144	
0.109784	0.246914	0.176815	0.606488	
0.135676	0.245062	0.0703609	0.0778483	
0.20972	0.216049	0.101926	0.251149	
0.0335262	0.231173	0.0684644	0.143292	
0.0758898	0.201411	0.089766	0.0746729	
0.0116928	0.186993	0.0701455	0.194362	
0.0524269	0.512346	0.147613	0.174309	
0.152144	0.161376	0.0305152	0.36056	
0.0400976	0.278825	0.0767512	0.227474	
0.00373829	0.087037	0.0811805	0.133178	
0.161407	0.146384	0.108385	0.237889	
0.012753	0.0380842	0.21053	0.177371	
0.00210659	0.401058	0.155969	0.291669	
0.084534	0.177205	0.291864	0.105844	
0.0268904	0.123457	0.091863	0.0620769	
0.0800834	0.102778	0.132256	0.158353	
0.0860178	0.221914	0.1042	0.162672	
0.0593831	0.595679	0.0823467	0.168317	
0.108003	0.484568	0.068796	0.246281	
0.161244	0.364198	0.10238	0.183041	
0.0321423	0.260306	0.107304	0.163378	
0.029732	0.0656085	0.0319245	0.133569	
0.0601544	0.207672	0.0957368	0.405565	
0.0719832	0.0356261	0.0565152	0.372134	
0.0986269	0.124691	0.126742	0.136226	
0.0146734	0.0950176	0.0960695	0.0769166	
0.0609	0.160494	0.048465	0.317631	
0.0670115	0.17058	0.0315601	0.0926653	
0.0207947	0.447751	0.0716065	0.266431	
0.0250493	0.331294	0.0331625	0.132834	
0.0154854	0.216049	0.077502	0.272956	
0.0582586	0.145944	0.0666607	0.108953	
0.118796	0.216931	0.129194	0.252981	
0.0714013	0.520282	0.0172219	0.329052	
0.0616569	0.438713	0.092134	0.369033	
0.00932886	0.134259	0.0897204	0.196753	
0.0428779	0.41358	0.0745582	0.37688	
0.0568343	0.111111	0.100511	0.138833	
0.0225779	0.274691	0.0881071	0.147163	
0.0059463	0.568254	0.0422151	0.164518	
0.0965809	0.202546	0.0737174	0.209063	
0.0363896	0.177469	0.104639	0.0906061	
0.018493	0.160494	0.110151	0.355234	
0.104298	0.258488	0.099655	0.19814	
0.194841	0.170525	0.0323866	0.0800826	
0.224466	0.119985	0.139293	0.252583	
0.119098	0.251764	0.0591577	0.164197	
0.107305	0.139462	0.047936	0.14331	
0.0452374	0.495811	0.0543783	0.241123	
0.167867	0.095679	0.0797132	0.300517	
0.0919104	0.234568	0.127078	0.00950413	
0.0254359	0.216512	0.108028	0.11333	
0.0576376	0.121252	0.0842174	0.262013	
0.0399138	0.619048	0.14351	0.184804	
0.115152	0.259259	0.189742	0.381543	
0.0147179	0.198148	0.15361	0.160422	
0.0139282	0.122487	0.12734	0.165177	
0.128873	0.127315	0.0493499	0.320799	
0.101072	0.259392	0.0587504	0.1768	
0.0824655	0.042769	0.060204	0.103107	
0.0155909	0.216049	0.177917	0.147949	
0.011996	0.762566	0.13355	0.437611	
0.0116299	0.134921	0.0912777	0.0977961	
0.0469477	0.174151	0.0504429	0.0800915	
0.0235118	0.181481	0.147871	0.476446	
0.0557488	0.333333	0.0982081	0.105052	
0.108459	0.464815	0.131612	0.381405	
0.0416784	0.213404	0.0875126	0.0748485	
0.125651	0.411012	0.103771	0.173338	
0.019501	0.430247	0.0530291	0.122688	
0.124799	0.513889	0.0657041	0.051949	
0.12852	0.204696	0.132965	0.138197	
0.218972	0.394621	0.0895655	0.203094	
0.112879	0.0467372	0.0797055	0.287638	
0.0904156	0.138117	0.154802	0.0876023	
0.0226953	0.234568	0.103967	0.484199	
0.0747304	0.0814815	0.0684836	0.257069	
0.0972815	0.136243	0.0336938	0.199779	
0.0664962	0.0993087	0.0732859	0.219565	
0.17368	0.346914	0.111364	0.213067	
0.125705	0.120988	0.166029	0.229626	
0.0389845	0.276929	0.0818701	0.236527	
0.0379455	0.268959	0.158409	0.280067	
0.0371545	0.648148	0.0456579	0.0679442	
0.269925	0.157407	0.117624	0.106781	
0.00910405	0.058642	0.0893348	0.09939	
0.140484	0.23804	0.0392715	0.0771901	
0.0688801	0.22963	0.0717805	0.438262	
0.332203	0.350694	0.10072	0.135102	
0.113637	0.540741	0.120387	0.246173	
0.16532	0.238536	0.0919381	0.11198	
0.0916587	0.249284	0.106454	0.18577	
0.0749775	0.176312	0.101559	0.488811	
0.283363	0.282344	0.0429702	0.248979	
0.0902335	0.149383	0.108056	0.187456	
0.103882	0.356922	0.0654921	0.0782886	
0.12698	0.14418	0.116362	0.152014	
0.0628552	0.24537	0.0733425	0.264849	
0.219376	0.220459	0.137426	0.180028	
0.071834	0.209877	0.257443	0.180234	
0.0178878	0.184127	0.181971	0.136226	
0.107869	0.0787037	0.0880337	0.170523	
0.148648	0.0720899	0.0844708	0.271694	
0.264526	0.200617	0.188208	0.328245	
0.0917698	0.298611	0.289399	0.107552	
0.102817	0.215112	0.0475597	0.297567	
0.0806649	0.209877	0.0628757	0.289174	
0.065965	0.407407	0.177596	0.208442	
0.0846022	0.156922	0.112403	0.250645	
0.00228141	0.0445326	0.0930364	0.21689	
0.244601	0.524636	0.0399425	0.205543	
0.0216918	0.195106	0.0624218	0.204253	
0.115703	0.207628	0.193234	0.208879	
0.227331	0.133377	0.0599746	0.192861	
0.11547	0.0617284	0.00559819	0.105083	
0.228999	0.155556	0.157123	0.431309	
0.0367256	0.311728	0.0508061	0.269933	
0.310827	0.126543	0.062484	0.35508	
0.137654	0.578472	0.0708201	0.389165	
0.094491	0.233403	0.130944	0.28721	
0.0852031	0.170525	0.129465	0.199845	
0.0250998	0.320988	0.182187	0.145124	
0.0901037	0.513668	0.245863	0.214463	
0.0731879	0.125386	0.0835817	0.145981	
0.11402	0.275132	0.244978	0.241789	
0.0241985	0.283447	0.0669217	0.114209	
0.165351	0.0526266	0.134679	0.0792355	
0.191962	0.0506173	0.134156	0.106132	
0.0446498	0.0563272	0.112347	0.37625	
0.18766	0.114198	0.156419	0.166873	
0.0930562	0.154541	0.0168853	0.0533943	
0.0769521	0.2694	0.0277753	0.104081	
0.0737008	0.165344	0.133692	0.27251	
0.107307	0.217593	0.0937138	0.0789807	
0.199942	0.173016	0.173293	0.414141	
0.0182862	0.152431	0.0421784	0.167518	
0.306681	0.0870811	0.0566	0.170368	
0.137535	0.174603	0.130262	0.222934	
0.184236	0.113536	0.218809	0.233264	
0.0189829	0.226411	0.0743136	0.104941	
0.0246686	0.105853	0.184086	0.0562426	
0.204476	0.152028	0.0535342	0.220248	
0.305042	0.247354	0.0878056	0.185919	
0.100683	0.257716	0.0466174	0.0923967	
0.00476292	0.446208	0.0833547	0.13719	
0.0734445	0.0123457	0.162249	0.27533	
0.124381	0.158179	0.0629967	0.0988154	
0.154016	0.132716	0.0394809	0.249897	
0.133021	0.410935	0.172357	0.132015	
0.0699376	0.0462963	0.0828515	0.0646473	
0.0530807	0.139771	0.0974529	0.155552	
0.153326	0.117725	0.0730324	0.173841	
0.0800075	0.15514	0.0499393	0.121341	
0.0954995	0.408951	0.109181	0.35488	
0.00199848	0.033642	0.272412	0.582645	
0.00857045	0.335262	0.0940238	0.0162879	
0.0116288	0.146605	0.0548548	0.17135	
0.155956	0.144974	0.0519094	0.117314	
0.0652858	0.398526	0.1881	0.202204	
0.0711676	0.464286	0.102666	0.225172	
0.180924	0.246914	0.0828234	0.0311295	
0.0382317	0.118827	0.0956009	0.28294	
0.254702	0.281305	0.0439746	0.0681425	
0.119459	0.33642	0.0704673	0.377663	
0.0428508	0.0154321	0.139781	0.284721	
0.0118037	0.0744599	0.260402	0.0331129	
0.0394867	0.569444	0.0690744	0.334396	
0.0319956	0.470679	0.0326946	0.196074	
0.0183725	0.247266	0.109699	0.310262	
0.152962	0.0511464	0.149263	0.249139	
0.094482	0.148148	0.033966	0.362062	
0.0161837	0.313272	0.0779469	0.13474	
0.354559	0.285218	0.0996083	0.33897	
0.117701	0.273721	0.111905	0.278365	
0.0664151	0.153351	0.0299446	0.322521	
0.0195618	0.158179	0.136993	0.137466	
0.0225308	0.0339506	0.0371495	0.187307	
0.0742922	0.241127	0.133143	0.178773	
0.109754	0.165123	0.129492	0.368638	
0.185441	0.410494	0.0200471	0.171333	
0.00541646	0.0570988	0.0289871	0.134728	
0.0621853	0.441975	0.213282	0.119666	
0.106303	0.259259	0.0574088	0.146071	
0.070569	0.550926	0.0914246	0.145218	
0.0835977	0.459877	0.0918744	0.238606	
0.199622	0.202601	0.165107	0.17939	
0.0739102	0.345679	0.0782941	0.108294	
0.176557	0.433422	0.0714534	0.207918	
0.0030777	0.166667	0.0647369	0.206612	
0.0165246	0.147266	0.113262	0.199439	
0.164681	0.0231481	0.0825897	0.253143	
0.0587548	0.425926	0.113982	0.434044	
0.128806	0.118166	0.136785	0.11402	
0.129064	0.532407	0.193099	0.00950413	
0.162812	0.272994	0.0998096	0.241561	
0.0103411	0.391975	0.0579397	0.134683	
0.0611696	0.540741	0.070598	0.354807	
0.0340868	0.403691	0.0794273	0.0992837	
0.0750133	0.628086	0.150936	0.157927	
0.0379205	0.301389	0.0389912	0.220705	
0.0785152	0.23082	0.117953	0.358747	
0.0468075	0.243519	0.0646164	0.19144	
0.0930318	0.516314	0.20665	0.1491	
0.0209058	0.245139	0.145428	0.264302	
0.0724268	0.243166	0.0544673	0.60679	
0.0655575	0.271076	0.0521622	0.139591	
0.0583607	0.214506	0.132158	0.138011	
0.1297	0.0962963	0.0420081	0.223295	
0.0889298	0.133377	0.121997	0.209369	
0.028938	0.166005	0.0395599	0.184404	
0.0240096	0.274691	0.0896604	0.209563	
0.106609	0.0250772	0.0731527	0.0447658	
0.0585669	0.220018	0.188361	0.0765152	
0.022532	0.462103	0.0788001	0.289242	
0.137981	0.0509259	0.127132	0.228351	
0.074419	0.128858	0.064982	0.0818684	
0.132961	0.252205	0.0810253	0.0641922	
0.176372	0.425397	0.102628	0.274355	
0.0615862	0.265818	0.118003	0.144429	
0.0703891	0.0246914	0.190764	0.421384	
0.104097	0.617284	0.0795773	0.0625935	
0.171594	0.25	0.239518	0.0889291	
0.0851778	0.404541	0.0593116	0.120264	
0.236784	0.239859	0.382426	0.401582	
0.00924372	0.460262	0.0400051	0.216706	
0.197676	0.45679	0.0528222	0.288005	
0.244133	0.0861993	0.0995735	0.183196	
0.0885679	0.0725309	0.105284	0.351309	
0.21601	0.249383	0.0558507	0.136703	
0.0589339	0.1708	0.111924	0.155993	
0.0452215	0.253968	0.0932364	0.433264	
0.118537	0.0793651	0.0811597	0.181051	
0.0424641	0.385802	0.135348	0.343825	
0.164619	0.140432	0.122502	0.0769343	
0.147138	0.2667	0.141634	0.227669	
0.1312	0.121252	0.133023	0.139542	
0.178143	0.319841	0.0836669	0.142459	
0.299179	0.407407	0.077949	0.219783	
0.0314663	0.259259	0.143036	0.195169	
0.0904393	0.04806	0.0831899	0.211	
0.0555955	0.209877	0.0418308	0.139733	
0.100175	0.27381	0.0641154	0.130615	
0.0410299	0.274691	0.136341	0.108707	
0.0922597	0.156904	0.266877	0.126891	
0.0319262	0.272046	0.119135	0.0767562	
0.264508	0.302469	0.0183159	0.194974	
0.179668	0.324074	0.113207	0.360687	
0.0887641	0.282407	0.184913	0.183299	
0.00615553	0.15399	0.113215	0.0765702	
0.0818983	0.104056	0.0774225	0.345598	
0.123432	0.114638	0.0162276	0.219038	
0.185988	0.446914	0.161732	0.171996	
0.0131269	0.318827	0.0928436	0.299001	
0.0550047	0.0695216	0.0633583	0.15656	
0.122783	0.0541698	0.0472397	0.200236	
0.160006	0.290123	0.186397	0.296336	
0.165616	0.382385	0.110509	0.226265	
0.0555604	0.228395	0.0531028	0.142975	
0.242003	0.0401235	0.0779887	0.264234	
0.132623	0.114198	0.113572	0.265291	
0.0361551	0.0526896	0.13018	0.245019	
0.092575	0.145503	0.197074	0.239807	
0.0947323	0.339275	0.150519	0.186182	
0.070839	0.111111	0.0661362	0.125947	
0.041481	0.037037	0.0956449	0.275344	
0.0717427	0.49978	0.0843206	0.417625	
0.0671541	0.213735	0.0991598	0.126143	
0.361122	0.25463	0.229099	0.0776122	
0.0797739	0.183366	0.140003	0.286671	
0.170767	0.320767	0.0704667	0.200103	
0.027717	0.221065	0.109078	0.1804	
0.122834	0.220679	0.100246	0.309153	
0.0115814	0.218827	0.095948	0.263884	
0.0604062	0.315697	0.2072	0.274435	
0.0190737	0.134094	0.102052	0.129824	
