mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:33:23 2008 

Input data from the file: ex09.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 9871

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Range_thetant:         1
Thetant_min:           0.000500
Thetant_max:           0.050000
Mutations:             32
Sfix_allthetas:        1
Method_samp:           1
No_rec_males:          0
Recombination:         10

REJECTION ALGORITHM OF TAVARE et al. 1997. Fix S and screening all probable thetas.  Rejection algorithm n. 2.

Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
-1.71176	-5.40678	-0.552013	-1.09421	-0.71817	-1.30018	-6.84138	0.129032	0.1875	0.190112	na	0.533333	0.908046	0.0589408	32	0	0	8.07743	4.26897	11.1103	-0.640714	-1.38449	0.266667	0.4	0	11	7.68966	-0.151939	0.122222	na	0.936995	
-0.0699343	-5.61531	-0.76079	-0.632377	-0.963903	-0.787745	4.3954	0.0645161	0.125	0.134292	na	0.666667	0.96092	0.113193	32	0	0	8.07743	7.92184	3.52644	-0.0261765	0.8895	0.166667	0.233333	4	12	5.72414	-0.922066	0.0711111	na	0.126233	
-0.19289	0.042053	0.909425	0.650163	1.00196	0.704708	0.606897	0.0645161	0.125	0.166473	na	0.433333	0.905747	0.115826	32	0	0	8.07743	7.64828	7.04138	-0.0721991	0.122818	0.266667	0.333333	3	4	7.34483	-0.287049	0.124444	na	0.130748	
-1.13624	-5.9007	-1.38712	-1.53885	-1.7011	-1.82549	1.30575	0.0645161	0.09375	0.0858732	na	0.6	0.963218	0.0762759	32	0	0	8.07743	5.54943	4.24368	-0.425297	0.264245	0.133333	0.166667	1	15	4.89655	-1.24633	0.0688889	na	0.180199	
-0.194957	-7.19642	-0.969567	-0.846397	-1.20964	-1.03464	0.735632	0.0322581	0.0625	0.12301	na	0.7	0.972414	0.107624	32	0	0	8.07743	7.64368	6.90805	-0.0729726	0.14887	0.133333	0.166667	3	13	7.27586	-0.314071	0.06	na	0.130827	
-0.0472029	-1.81202	0.909425	0.705891	1.00196	0.767319	2.28966	0.0322581	0.0625	0.096466	na	0.533333	0.954023	0.12087	32	0	0	8.07743	7.97241	5.68276	-0.0176681	0.463359	0.133333	0.166667	4	4	6.82759	-0.489714	0.0777778	na	0.125433	
-0.855201	-3.09882	-1.5959	-1.59754	-1.45537	-1.51155	-0.202299	0.129032	0.1875	0.154318	na	0.533333	0.926437	0.0953266	32	0	0	8.07743	6.17471	6.37701	-0.320103	-0.0409393	0.166667	0.2	1	14	6.27586	-0.70589	0.104444	na	0.161951	
0.129482	-4.13075	0.283095	0.274886	0.264761	0.263766	0.8	0.0322581	0.0625	0.0827962	na	0.633333	0.967816	0.12491	32	0	0	8.07743	8.36552	7.56552	0.0484653	0.161896	0.1	0.1	4	7	7.96552	-0.0438514	0.0644444	na	0.119538	
0.897183	1.16356	-0.134459	0.236153	-0.226705	0.207371	-0.128736	0.322581	0.4375	0.3932	na	0.433333	0.898851	0.149806	32	0	0	8.07743	10.0736	10.2023	0.335817	-0.0260523	0.2	0.366667	1	9	10.1379	0.807341	0.131111	na	0.198539	
-0.342711	0.526133	0.909425	0.592853	1.00196	0.64032	-8.26667	0.258065	0.34375	0.327605	na	0.4	0.875862	0.110934	32	0	0	8.07743	7.31494	15.5816	-0.128277	-1.67293	0.3	0.3	2	4	11.4483	1.32076	0.153333	na	0.136706	
-1.29846	-3.15051	-1.38712	-1.6009	-0.963903	-1.31572	-4.58851	0.193548	0.25	0.214759	na	0.5	0.931034	0.0832832	32	0	0	8.07743	5.18851	9.77701	-0.486016	-0.928579	0.166667	0.233333	1	12	7.48276	-0.233005	0.1	na	0.385467	
-0.591723	-3.49638	-1.17834	-1.16436	-0.963903	-1.01199	-0.891954	0.0967742	0.125	0.164482	na	0.566667	0.94023	0.0978566	32	0	0	8.07743	6.76092	7.65287	-0.221483	-0.180505	0.166667	0.2	2	12	7.2069	-0.341093	0.0911111	na	0.147909	
