Ttot[0]	Ttot[1]	Ttot[2]	Ttot[3]	
0.59394	0.307272	0.667252	0.491105	
1.03962	0.450392	0.63105	0.404261	
0.656089	0.594592	0.775079	0.281589	
0.574704	0.699735	0.57305	0.332738	
0.708047	0.55432	0.6027	0.369191	
0.600303	0.912237	0.608892	0.343186	
0.685282	0.34452	0.675616	0.427995	
0.704148	0.317721	0.522404	0.337424	
0.754874	0.420167	0.6638	0.426019	
0.584287	0.415181	0.462726	0.335891	
0.998423	0.451845	0.517573	0.326397	
0.603514	0.353913	0.453211	0.411718	
0.625761	0.564906	0.4238	0.350084	
0.70841	0.387214	0.493291	0.463429	
0.754448	0.499672	0.488743	0.350781	
0.701167	0.236079	0.610903	0.366501	
0.652511	0.315087	0.462658	0.351249	
0.63756	0.48012	0.598744	0.384404	
0.514266	0.638065	0.59347	0.368153	
0.688478	0.504983	0.747667	0.31288	
0.778078	0.45009	0.589537	0.423269	
0.61485	0.277771	0.527959	0.380689	
0.75726	0.311747	0.522676	0.376213	
0.681174	0.511907	0.513132	0.276141	
0.647498	0.475007	0.401988	0.388788	
0.624301	0.442249	0.450138	0.360434	
0.618126	0.554939	0.649963	0.255312	
0.686557	0.42668	0.493475	0.418333	
0.610748	0.413884	0.614906	0.389522	
0.645454	0.37454	0.485466	0.527789	
0.659708	0.411029	0.445414	0.309712	
0.717176	0.284238	0.523668	0.279941	
0.780774	0.496186	0.400662	0.334187	
0.731142	0.3698	0.41907	0.400592	
0.575832	0.456035	0.417941	0.39841	
0.698301	0.424226	0.462258	0.309987	
0.561881	0.50509	0.541825	0.442445	
0.705637	0.39233	0.420586	0.34665	
0.799485	0.477862	0.661843	0.564919	
0.663686	0.479126	0.433192	0.489601	
0.656682	0.345661	0.626236	0.416405	
0.639727	0.466806	0.49886	0.398064	
0.756305	0.45952	0.566859	0.482195	
0.53588	0.277891	0.497033	0.398604	
0.606734	0.287221	0.535311	0.321598	
0.800884	0.710287	0.411777	0.330132	
0.761318	0.244137	0.430117	0.37676	
0.773612	0.408523	0.564219	0.263315	
0.865743	0.380505	0.574435	0.360338	
0.736183	0.374215	0.658572	0.326872	
0.703745	0.478443	0.501747	0.483329	
0.710595	0.453461	0.580064	0.480703	
0.769655	0.592614	0.505771	0.293398	
0.704894	0.320152	0.506219	0.415971	
0.712758	0.481923	0.507707	0.466642	
0.66067	0.394525	0.471769	0.534281	
0.686234	0.336854	0.524341	0.364168	
0.740659	0.367896	0.51799	0.337079	
0.839387	0.542253	0.592334	0.302329	
0.514141	0.43955	0.526658	0.279493	
0.860386	0.470748	0.493565	0.480872	
0.671789	0.592481	0.534669	0.50793	
0.638238	0.436564	0.550547	0.404726	
0.664625	0.263891	0.504383	0.516992	
0.639135	0.312307	0.507845	0.460973	
0.769079	0.570934	0.510619	0.450019	
0.841707	0.463566	0.653196	0.330287	
0.600488	0.541753	0.506024	0.488933	
0.604439	0.595955	0.511737	0.366224	
0.739434	0.275116	0.475262	0.367491	
0.701449	0.522051	0.45315	0.453822	
0.617642	0.309446	0.613424	0.333494	
0.582066	0.396634	0.600134	0.523118	
0.907752	0.425381	0.678743	0.308714	
0.674591	0.737543	0.498506	0.432307	
0.638967	0.677677	0.411553	0.391365	
0.699971	0.633678	0.539565	0.433103	
0.664742	0.464128	0.494232	0.373882	
0.765248	0.377938	0.627452	0.4179	
0.732177	0.513393	0.49882	0.390818	
0.681345	0.474276	0.588155	0.447056	
0.614087	0.470288	0.538632	0.473648	
0.847824	0.286575	0.538444	0.478865	
0.860431	0.411374	0.54845	0.381246	
0.656974	0.331399	0.513939	0.309632	
0.593145	0.45641	0.565528	0.370036	
0.889887	0.349991	0.711422	0.439028	
0.768585	0.336956	0.544591	0.421263	
0.676328	0.589158	0.541005	0.321046	
0.752523	0.489074	0.594366	0.317749	
0.981585	0.29636	0.442559	0.347974	
0.773062	0.381156	0.582998	0.423849	
0.715885	0.41129	0.535108	0.275443	
0.852629	0.330667	0.493278	0.425544	
1.06006	0.691436	0.518162	0.531768	
0.645753	0.498511	0.485711	0.285888	
0.974388	0.314135	0.447215	0.407226	
0.868748	0.383835	0.434708	0.384786	
0.681696	0.417912	0.489043	0.492397	
0.997917	0.437242	0.558244	0.300591	
0.617975	0.40584	0.570967	0.520886	
0.654013	0.39469	0.582518	0.36468	
0.854726	0.491505	0.498035	0.408241	
0.944953	0.692243	0.478504	0.416258	
0.715236	0.425394	0.501903	0.494464	
0.786784	0.278136	0.510141	0.494693	
0.643517	0.36923	0.596756	0.403764	
0.649642	0.330023	0.459871	0.421192	
0.829107	0.450167	0.516817	0.35366	
0.767234	0.450916	0.531502	0.423969	
0.670364	0.34937	0.761515	0.419578	
0.947891	0.371286	0.494242	0.367463	
0.636766	0.44571	0.47982	0.401885	
0.708651	0.570494	0.419181	0.333039	
0.60445	0.390995	0.633534	0.456894	
0.574501	0.494135	0.589781	0.453747	
0.765995	0.436318	0.501705	0.402715	
0.690942	0.350549	0.463778	0.45247	
0.584667	0.258052	0.786769	0.412566	
0.846612	0.424215	0.406273	0.424598	
0.574693	0.366632	0.454466	0.352175	
0.730201	0.307597	0.499309	0.519858	
0.637494	0.519882	0.471136	0.42376	
0.8047	0.46282	0.431031	0.342544	
0.69201	0.572487	0.528358	0.389622	
0.879355	0.322062	0.51803	0.347136	
0.648439	0.430127	0.60319	0.359223	
0.617218	0.496583	0.59411	0.354814	
0.678321	0.410581	0.604204	0.370844	
0.57358	0.492733	0.529836	0.275058	
0.597108	0.348096	0.672557	0.351645	
0.534776	0.533859	0.525604	0.421715	
0.724568	0.428328	0.599023	0.279864	
0.835437	0.48352	0.63757	0.403142	
0.600269	0.446283	0.604298	0.494008	
0.806204	0.451593	0.555059	0.342602	
0.624001	0.384434	0.410745	0.342758	
0.638273	0.534502	0.42184	0.224378	
0.646244	0.499448	0.561394	0.392389	
0.638644	0.460757	0.543863	0.400581	
0.696892	0.381309	0.552053	0.372064	
0.65021	0.379813	0.540711	0.429693	
0.846447	0.419082	0.519705	0.304728	
0.700626	0.436837	0.493194	0.371711	
0.825409	0.363035	0.60642	0.328484	
0.642086	0.380908	0.475666	0.346114	
0.495498	0.529292	0.613198	0.34721	
0.782153	0.342317	0.533578	0.402528	
1.05609	0.276895	0.497595	0.326068	
0.678975	0.476774	0.368647	0.625013	
0.661573	0.550184	0.608031	0.47159	
0.824864	0.392805	0.651546	0.430803	
0.599517	0.477879	0.468301	0.323488	
0.777091	0.323109	0.489885	0.445402	
0.90379	0.511185	0.63005	0.507162	
0.786014	0.426922	0.430429	0.300627	
0.718628	0.318484	0.511003	0.336978	
0.949725	0.450104	0.650904	0.452806	
0.719277	0.405627	0.470939	0.32899	
0.844732	0.459231	0.414072	0.395311	
0.533965	0.372583	0.852464	0.454002	
0.782682	0.29285	0.486108	0.371963	
0.777913	0.382539	0.699894	0.448253	
0.706121	0.337908	0.472414	0.352353	
0.672764	0.459015	0.698998	0.397013	
0.645208	0.387262	0.402002	0.438305	
0.764162	0.456445	0.447884	0.425322	
0.718494	0.550814	0.524254	0.311982	
0.977647	0.416544	0.493279	0.349	
0.884717	0.398161	0.522201	0.368557	
0.729555	0.360139	0.505529	0.429367	
0.83189	0.417377	0.594871	0.485812	
0.790207	0.441771	0.431503	0.488918	
0.739869	0.485598	0.491716	0.301885	
0.493586	0.362017	0.676422	0.457977	
0.727064	0.352747	0.592038	0.447999	
0.66791	0.446947	0.477376	0.778949	
