mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:57:54 2008 

Input data from the file: ex16.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 7787

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Thetaw:                5
No_rec_males:          0
Recombination:         10
Heter_rec_alphag:      0.500000


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
-1.01662	-2.26663	-0.199839	-0.537899	-0.287174	-0.6425	-3.34713	0.125	0.176471	0.225534	na	0.366667	0.737931	0.0832899	17	0	0	4.29114	3.01609	6.36322	-0.403776	-1.18105	0.5	0.5	2	5	4.68966	0.260749	0.286667	na	0.331555	
-0.841452	-3.09409	-1.38562	-1.42507	-1.66718	-1.67353	1.67356	0	0	0.119862	na	0.466667	0.871264	0.0851509	23	0	0	5.80566	4.42299	2.74943	-0.323634	0.454814	0.333333	0.466667	2	11	3.58621	-1.14324	0.157778	na	0.226091	
-0.466075	-6.00798	0.23815	0.0175221	0.210904	-0.0220691	1.85747	0.176471	0.222222	0.237111	na	0.533333	0.935632	0.103462	18	0	0	4.54356	3.92874	2.07126	-0.183882	0.624281	0.166667	0.2	2	4	3	-0.966108	0.0955556	na	0.254535	
-1.12025	-13.8251	-1.17806	-1.36324	-1.41448	-1.588	2.02299	0	0	0.0708904	na	0.666667	0.954023	0.0753696	20	0	0	5.0484	3.42529	1.4023	-0.4369	0.621021	0.2	0.266667	2	9	2.41379	-1.51788	0.0777778	na	0.291946	
-0.635945	-2.10068	-0.0735256	-0.298095	-0.148494	-0.382688	2.4092	0.047619	0.0909091	0.106389	na	0.433333	0.931034	0.0974655	22	0	0	5.55324	4.54943	2.14023	-0.245637	0.680742	0.166667	0.266667	1	6	3.34483	-1.1791	0.1	na	0.219808	
-0.685949	-4.94299	0.440731	0.10049	0.44032	0.0756939	1.89425	0	0	0.0373843	na	0.466667	0.942529	0.0963112	16	0	0	4.03872	3.22299	1.32874	-0.274467	0.703544	0.133333	0.266667	1	3	2.27586	-1.20848	0.0888889	na	0.310271	
-0.252914	-2.32575	-0.0735256	-0.153979	-0.148494	-0.223184	2.85977	0.190476	0.318182	0.252538	na	0.466667	0.928736	0.111435	22	0	0	5.55324	5.15402	2.29425	-0.0976891	0.808057	0.166667	0.233333	2	6	3.72414	-0.976579	0.102222	na	0.194023	
-0.791169	-1.88473	0.512736	0.118059	0.523065	0.0967845	-6.57471	0.125	0.235294	0.155713	na	0.366667	0.896552	0.0928354	17	0	0	4.29114	3.29885	9.87356	-0.314233	-2.31992	0.233333	0.4	2	3	6.58621	1.50166	0.133333	na	0.303136	
-0.847153	-5.02946	-0.559258	-0.761555	-0.685651	-0.888329	1.61839	0	0	0.0516565	na	0.433333	0.891954	0.0864657	14	0	0	3.53388	2.63678	1.01839	-0.344965	0.671963	0.3	0.366667	1	5	1.82759	-1.29411	0.137778	na	0.37925	
-0.388359	-3.42101	-0.361553	-0.435361	-0.480872	-0.543405	0.570115	0.0952381	0.136364	0.156515	na	0.5	0.891954	0.105451	22	0	0	5.55324	4.94023	4.37011	-0.150005	0.161092	0.3	0.3	3	7	4.65517	-0.479488	0.137778	na	0.20242	
