mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:32:43 2008 

Input data from the file: ex04.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 659

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Thetaw:                5
No_rec_males:          0
Recombination:         10

Npop:                  2
Mig_rate:              5
Refugia:               1
Time_split:            0.014000
Time_scoal:            0.016500
Factor_anc:            0.100000
Freq_refugia:          0.5 0.5
Factor_pop:            0.1 0.05

Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
-1.75911	-4.03177	-0.816562	-1.28327	-0.927766	-1.40776	0.671264	0	0	0.00313038	na	0.233333	0.464368	0.0564767	7	0	0	1.76694	0.714943	0.0436782	-0.809059	0.480576	0.733333	0.8	0	3	0.37931	-1.717	0.551111	na	1.39871	
1.57845	1.67211	0.59448	0.996641	0.581076	0.985591	-0.156322	na	na	na	na	0.0666667	0.508046	0.254023	1	0	0	0.25242	0.508046	0.664368	1.37616	-0.387814	0.566667	1	0	0	0.586207	1.29101	0.508889	na	1.96833	
-1.88948	-4.41067	-2.99378	-3.10061	-3.1839	-3.29443	0.257471	0	0	0.00118906	na	0.166667	0.252874	0.0849837	4	0	0	1.00968	0.266667	0.0091954	-1	0.274093	0.866667	0.9	0	4	0.137931	-1.54032	0.755556	na	3.75	
-0.939123	-1.59983	-0.335794	-0.600808	-0.40311	-0.671385	0.23908	0	0	0.0335242	na	0.2	0.671264	0.0844982	6	0	0	1.51452	1.01609	0.777011	-0.447213	0.191659	0.5	0.8	0	2	0.896552	-0.846154	0.351111	na	0.984163	
-0.788763	-1.19469	-1.47512	-1.47963	-1.56601	-1.5707	0.386207	0	0	0.0104948	na	0.133333	0.468966	0.103531	3	0	0	0.75726	0.503448	0.117241	-0.455463	0.497072	0.7	0.933333	0	2	0.310345	-0.938023	0.546667	na	1.9863	
-1.36793	-2.38488	-1.11084	-1.38306	-1.23344	-1.50905	-0.56092	0	0	0.0323807	na	0.2	0.501149	0.0700366	6	0	0	1.51452	0.788506	1.34943	-0.651414	-0.449662	0.7	0.833333	0	3	1.06897	-0.610075	0.515556	na	1.26822	
-0.129145	-1.47865	-1.11084	-0.952408	-1.23344	-1.06041	0.891954	0	0	0.0264886	na	0.233333	0.648276	0.115243	6	0	0	1.51452	1.44598	0.554023	-0.0614992	0.715037	0.566667	0.633333	0	3	1	-0.704507	0.373333	na	0.691574	
-1.00952	-3.3225	-1.51321	-1.58772	-1.68017	-1.74766	0.947126	0	0	0.0693869	na	0.266667	0.632184	0.0803699	7	0	0	1.76694	1.16322	0.216092	-0.464303	0.678073	0.6	0.7	0	4	0.689655	-1.33299	0.388889	na	0.859684	
-1.147	-1.21145	-1.68214	-1.76554	-1.72095	-1.81063	0.0643678	na	na	na	na	0.0666667	0.0666667	0.179505	1	0	0	0.25242	0.0666667	0.00229885	-1	0.159688	0.966667	1	0	1	0.0344828	-0.842932	0.935556	na	15	
-0.479991	-0.963987	-1.88589	-1.70756	-2.06377	-1.86984	0.174713	0	0	0.0243757	na	0.2	0.721839	0.109136	6	0	0	1.51452	1.25977	1.08506	-0.228573	0.140059	0.4	0.566667	0	4	1.17241	-0.468429	0.302222	na	0.793796	
-0.586434	-1.67585	-0.608366	-0.699863	-0.68641	-0.77459	0.809195	0	0	0.014821	na	0.2	0.749425	0.0992041	5	0	0	1.2621	0.990805	0.181609	-0.292102	0.738736	0.433333	0.633333	0	2	0.586207	-1.03992	0.275556	na	1.00928	
-2.00763	-5.48046	-3.23675	-3.34142	-3.47707	-3.58182	0.321839	0	0	0.00118906	na	0.2	0.310345	0.0745356	5	0	0	1.2621	0.333333	0.0114943	-1	0.293815	0.833333	0.866667	0	5	0.172414	-1.67658	0.7	na	3	
-0.770503	-0.809221	0.80615	0.416732	0.7996	0.417769	0.285057	0	0	0.00793651	na	0.1	0.301149	0.0787356	2	0	0	0.50484	0.314943	0.0298851	-0.511155	0.472672	0.833333	0.933333	0	0	0.172414	-0.88058	0.708889	na	3.17518	
-0.807813	-0.863219	-0.737466	-0.874528	-0.78427	-0.92092	-1.25057	0	0	0.00530504	na	0.1	0.296552	0.107833	2	0	0	0.50484	0.305747	1.55632	-0.535906	-2.07366	0.833333	0.966667	0	1	0.931034	1.12897	0.713333	na	3.27068	
-1.50738	-2.35488	-2.28108	-2.38176	-2.36814	-2.47612	0.128736	0	0	0.00118906	na	0.1	0.131034	0.124722	2	0	0	0.50484	0.133333	0.0045977	-1	0.213465	0.933333	0.966667	0	2	0.0689655	-1.15461	0.873333	na	7.5	
-1.73178	-3.38072	-2.68759	-2.79394	-2.82614	-2.93873	0.193103	0	0	0.00118906	na	0.133333	0.193103	0.1	3	0	0	0.75726	0.2	0.00689655	-1	0.248536	0.9	0.933333	0	3	0.103448	-1.37228	0.813333	na	5	
0.890097	0.512043	-0.262655	0.0796908	-0.305884	0.0458422	-0.11954	0	0	0.204477	na	0.133333	0.696552	0.173481	3	0	0	0.75726	1.04368	1.16322	0.513977	-0.153856	0.4	0.633333	0	1	1.10345	0.726611	0.326667	na	0.95815	
-0.770197	-1.34733	-1.88589	-1.80845	-2.06377	-1.97494	-0.0643678	0	0	0.00844696	na	0.2	0.558621	0.0899953	6	0	0	1.51452	1.10575	1.17011	-0.36677	-0.0516006	0.633333	0.666667	0	4	1.13793	-0.515644	0.46	na	0.904366	
-0.904465	-2.17078	-1.48449	-1.5269	-1.61663	-1.65505	0.23908	0	0	0.0216185	na	0.2	0.652874	0.0879955	5	0	0	1.2621	0.843678	0.604598	-0.450513	0.218263	0.5	0.833333	0	3	0.724138	-0.827702	0.368889	na	1.18529	
-1.27716	-1.68486	-2.36062	-2.37271	-2.54685	-2.55491	-0.450575	0	0	0.00686412	na	0.166667	0.542529	0.0944769	5	0	0	1.2621	0.671264	1.12184	-0.63615	-0.411342	0.633333	0.9	0	4	0.896552	-0.562428	0.475556	na	1.48973	
-1.68413	-3.17478	-2.66093	-2.75935	-2.89411	-2.98829	0.551724	0	0	0.035434	na	0.2	0.455172	0.0792673	6	0	0	1.51452	0.62069	0.0689655	-0.801987	0.442291	0.733333	0.866667	0	5	0.344828	-1.6016	0.56	na	1.61111	
-1.01379	-2.36632	-0.608366	-0.846664	-0.68641	-0.926332	0.689655	0	0	0.00853481	na	0.2	0.650575	0.0827155	5	0	0	1.2621	0.793103	0.103448	-0.504967	0.629604	0.566667	0.733333	0	2	0.448276	-1.25214	0.371111	na	1.26087	
0.0874266	-0.340315	-1.11084	-0.877119	-1.23344	-0.981979	0.432184	0	0	0.0474138	na	0.2	0.703448	0.123943	6	0	0	1.51452	1.56092	1.12874	0.0416328	0.346461	0.466667	0.5	0	3	1.34483	-0.23235	0.32	na	0.640648	
-1.11317	-1.39808	-2.36062	-2.31638	-2.54685	-2.49669	0.45977	0	0	0.0105764	na	0.166667	0.597701	0.0979658	5	0	0	1.2621	0.747126	0.287356	-0.55447	0.419736	0.533333	0.9	0	4	0.517241	-1.14603	0.422222	na	1.33846	
-0.926129	-0.570411	-0.335794	-0.59629	-0.40311	-0.666679	-2.43678	0.2	0.333333	0.208812	na	0.166667	0.565517	0.084999	6	0	0	1.51452	1.02299	3.45977	-0.441025	-1.95345	0.633333	0.833333	0	2	2.24138	0.995256	0.453333	na	0.977528	
-1.73164	-3.74715	-1.98083	-2.21458	-2.11916	-2.35722	0.312644	0	0	0.00161373	na	0.166667	0.308046	0.0767069	4	0	0	1.00968	0.328736	0.016092	-0.916463	0.332828	0.833333	0.9	0	3	0.172414	-1.47939	0.702222	na	3.04196	
-0.717323	-1.09325	-0.262655	-0.455546	-0.305884	-0.497026	0.432184	0	0	0.00554187	na	0.133333	0.402299	0.0972222	3	0	0	0.75726	0.526437	0.0942529	-0.41421	0.556247	0.766667	0.9	0	1	0.310345	-0.938023	0.611111	na	1.89956	
-1.58549	-3.25494	-1.98083	-2.16508	-2.11916	-2.3065	0.358621	0	0	0.00206985	na	0.166667	0.308046	0.0785288	4	0	0	1.00968	0.386207	0.0275862	-0.839114	0.381773	0.833333	0.9	0	3	0.206897	-1.41846	0.702222	na	2.58929	
-0.0728364	-2.37956	-0.335794	-0.299651	-0.40311	-0.357654	0.606897	0	0	0.085852	na	0.266667	0.795402	0.119352	6	0	0	1.51452	1.47586	0.868966	-0.0346849	0.48652	0.366667	0.533333	1	2	1.17241	-0.468429	0.231111	na	0.67757	
