mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 02:03:59 2008 

Input data from the file: ex20.txt

Print_neuttest:        2
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 672

N_loci:                1
Nlinked_loci:          5
Pos_linked:            12 500, 1056 2300, 5020 7050, 9590 10900, 11200 12349
Factorn_chr:           1.000000
N_sites:               12350
N_samples:             12
Thetaw:                98.3
No_rec_males:          0
Recombination:         60

Pop_size:              1.00E+06
Ifselection:           1
Pop_sel:               20000
Sel_nt:                2000
Sinit:                 0

Recombination parameter value for the studied region and all the region until the selective position.


Neutral tests (excluding multiple hits positions)
avg(TD)	var(TD)	avg(Fs)	var(Fs)	avg(FD*)	var(FD*)	avg(FF*)	var(FF*)	avg(FD)	var(FD) 	avg(FF)	var(FF)	avg(H)	var(H)	avg(B)	var(B)	avg(Q)	var(Q)	avg(ZA)	var(ZA)	avg(Fst)	var(Fst)	avg(Kw)	var(Kw) 	avg(Hw)	var(Hw)	avg(R2)	var(R2)	avg(S)	var(S)	avg(pi_w)	var(pi_w)	avg(pi_b)	var(pi_b)	avg(ThetaWatt)	var(thetaWatt)	avg(ThetaTaj)	var(ThetaTaj)	avg(ThetaFW)	var(ThetaFW)	avg(D/Dmin)	var(D/Dmin)	avg(Hnorm)	var(Hnorm)	avg(maxhap)	var(maxhap)	avg(maxhap1)	var(maxhap1)	avg(Rm)	var(Rm)	avg(theta_fl)	var(theta_fl)	avg(theta_l)	var(theta_l)	avg(zeng_E)	var(zeng_E)	avg(EW-test)	var(EW-test)	avg(Fstw)	var(Fstw)	avg(Pwh)	var(Pwh)
-1.14053	na	-0.475656	na	-1.32974	na	-1.44334	na	-1.42122	na	-1.56732	na	0.030303	0.00459137	na	na	na	na	na	na	na	na	0.1	0.00138889	0.0333333	0.00555556	0.276385	na	0.2	0.2	0	0	0	0	0.0662279	0.0219306	0.0333333	0.00555556	0.0030303	4.59137e-05	-1	na	0.338215	na	0.983333	0.00138889	1	0	0	0	0.2	0.2	0.0909091	0	-0.90177	na	0.969444	0.00466821	na	na	6	na	
-1.45138	na	-1.32484	na	-1.72038	na	-1.86451	na	-1.91219	na	-2.09985	na	0.0606061	0.0183655	0	na	0	na	0.00826446	na	na	na	0.116667	0.00555556	0.0636364	0.0202479	0.186339	na	0.4	0.8	0	0	0	0	0.132456	0.0877226	0.0666667	0.0222222	0.00606061	0.000183655	-1	na	0.449278	na	0.966667	0.00555556	0.983333	0.00138889	0	0	0.4	0.8	0.109091	0.00165289	-1.23351	na	0.941667	0.0170139	na	na	3	na	
-1.14053	na	-0.475656	na	-1.32974	na	-1.44334	na	-1.42122	na	-1.56732	na	0.030303	0.00459137	na	na	na	na	na	na	na	na	0.1	0.00138889	0.0333333	0.00555556	0.276385	na	0.2	0.2	0	0	0	0	0.0662279	0.0219306	0.0333333	0.00555556	0.0030303	4.59137e-05	-1	na	0.338215	na	0.983333	0.00138889	1	0	0	0	0.2	0.2	0.127273	0.00247934	-0.90177	na	0.969444	0.00466821	na	na	6	na	
-0.749437	na	0.147203	na	-1.04705	na	-1.09705	na	-0.482752	na	-0.6395	na	-0.224242	0.549862	0.5	na	0.5	na	0.522727	na	na	na	0.133333	0.00555556	0.151515	0.0655418	0.230102	na	0.8	1.2	0	0	0	0	0.264911	0.131584	0.19697	0.0853994	0.421212	0.649036	-0.51636	na	-0.831165	na	0.9	0.0326389	0.966667	0.00208333	0	0	0.4	0.3	0.363636	0.190083	0.283561	na	0.861111	0.0550733	na	na	3.76744	na	
na	na	na	na	na	na	na	na	na	na	na	na	0	0	na	na	na	na	na	na	na	na	0.0833333	1.0842e-18	0	0	na	na	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	1	0	1	0	0	0	0	0	1.09091	0	na	na	1	0	na	na	na	na	
-2.18171	na	6.35667	na	-2.74239	na	-2.95498	na	-0.378317	na	-1.10231	na	-3.75758	70.5969	1	na	1	na	1	na	na	na	0.1	0.00138889	0.0333333	0.00555556	0.276385	na	4	80	0	0	0	0	1.32456	8.77226	0.666667	2.22222	4.42424	97.8696	-1	na	-4.98799	na	0.983333	0.00138889	0.983333	0.00138889	0	0	1.6	12.8	3.41818	27.081	3.37208	na	0.969444	0.00466821	na	na	6	na	
na	na	na	na	na	na	na	na	na	na	na	na	0	0	na	na	na	na	na	na	na	na	0.0833333	1.0842e-18	0	0	na	na	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	1	0	1	0	0	0	0	0	12.7273	0	na	na	1	0	na	na	na	na	
na	na	na	na	na	na	na	na	na	na	na	na	0	0	na	na	na	na	na	na	na	na	0.0833333	1.0842e-18	0	0	na	na	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	1	0	1	0	0	0	0	0	12.7273	0	na	na	1	0	na	na	na	na	
-1.14053	na	-0.475656	na	-1.32974	na	-1.44334	na	-1.42122	na	-1.56732	na	0.030303	0.00459137	na	na	na	na	na	na	na	na	0.1	0.00138889	0.0333333	0.00555556	0.276385	na	0.2	0.2	0	0	0	0	0.0662279	0.0219306	0.0333333	0.00555556	0.0030303	4.59137e-05	-1	na	0.338215	na	0.983333	0.00138889	1	0	0	0	0.2	0.2	2.61818	31.9355	-0.90177	na	0.969444	0.00466821	na	na	6	na	
-1.65274	na	2.70937	na	-2.02321	na	-2.18557	na	-1.46721	na	-1.81755	na	-1.9697	20.1561	1	na	1	na	1	na	na	na	0.116667	0.00208333	0.0666667	0.00833333	0.276385	na	3.8	63.2	0	0	0	0	1.25833	6.93008	0.633333	1.75556	2.60303	33.7803	-1	na	-1.28615	na	0.966667	0.00208333	0.983333	0.00138889	0	0	2.4	23.3	1.67273	12.5107	0.161438	na	0.938889	0.00700231	na	na	6	na	
