mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 02:08:06 2008 

Input data from the file: input.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          100
Seed1:                 111

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1000
N_samples:             20
Mutations:             0
Thetaw:                5
No_rec_males:          0
Recombination:         10


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
-0.331765	-4.21559	0.556479	0.348133	0.558207	0.341936	1.83158	0	0	0.126779	na	0.55	0.931579	0.121754	11	0	0	3.10057	2.81053	0.978947	-0.144979	0.869972	0.2	0.3	1	2	1.89474	-1.0707	0.115	na	0.355805	
1.55985	0.7438	0.785899	1.18109	0.857282	1.32292	1.81053	0.08	0.153846	0.269063	na	0.55	0.905263	0.190501	26	0	0	7.32861	10.2737	8.46316	0.62282	0.412671	0.25	0.3	5	4	9.36842	0.930307	0.14	na	0.0973361	
0.0619309	-2.83818	-0.611413	-0.479369	-0.0971885	-0.0548003	-4.22105	0.307692	0.481481	0.381629	na	0.7	0.963158	0.132725	27	0	0	7.61048	7.73158	11.9526	0.0246614	-0.930092	0.15	0.2	3	8	9.84211	0.986463	0.085	na	0.12934	
0.50333	-1.90188	0.254688	0.381735	0.210592	0.371854	2.76842	0.0869565	0.125	0.193115	na	0.65	0.942105	0.149225	24	0	0	6.76487	7.64737	4.87895	0.202182	0.677681	0.2	0.2	3	6	6.26316	-0.244374	0.105	na	0.261528	
-0.225038	-2.64137	1.01419	0.755859	1.11795	0.832895	-0.347368	0.0555556	0.105263	0.107009	na	0.6	0.942105	0.128261	19	0	0	5.35552	5.03684	5.38421	-0.0922235	-0.104381	0.2	0.3	2	2	5.21053	-0.0852023	0.105	na	0.198537	
-0.777846	-2.32227	-0.52854	-0.697996	-0.711257	-0.883862	-0.273684	0.142857	0.2	0.185848	na	0.5	0.894737	0.0984903	15	0	0	4.22804	3.33684	3.61053	-0.326682	-0.100651	0.25	0.45	1	6	3.47368	-0.532353	0.15	na	0.299685	
0.0762598	-1.80265	0.32029	0.289113	0.288209	0.267071	-3.58947	0.125	0.235294	0.260647	na	0.55	0.915789	0.134123	17	0	0	4.79178	4.88947	8.47895	0.0315967	-1.18701	0.25	0.4	1	4	6.68421	1.21313	0.13	na	0.409042	
0.620404	-1.24923	0.374787	0.520047	0.35531	0.535616	2.93684	0.047619	0.0909091	0.251105	na	0.6	0.9	0.154329	22	0	0	6.20113	7.20526	4.26842	0.250962	0.77641	0.3	0.3	2	5	5.73684	-0.242701	0.145	na	0.138787	
-0.146971	-2.27225	-0.727706	-0.648123	-0.950588	-0.841235	0.978947	0	0	0.151223	na	0.55	0.915789	0.11899	16	0	0	4.50991	4.33158	3.35263	-0.0612853	0.340897	0.2	0.25	1	7	3.84211	-0.4486	0.13	na	0.230863	
-0.32351	-0.595705	1.29975	0.970922	1.37773	1.04204	-1.28421	0.166667	0.285714	0.265758	na	0.3	0.757895	0.127068	7	0	0	1.97309	1.77895	3.06316	-0.152495	-0.867622	0.45	0.65	1	0	2.42105	0.544359	0.28	na	0.56213	
-0.210679	-3.52949	0.310629	0.182028	0.278577	0.144595	-1.41053	0.166667	0.2	0.223975	na	0.7	0.952632	0.123291	25	0	0	7.04674	6.66316	8.07368	-0.0843643	-0.332964	0.2	0.25	1	6	7.36842	0.151529	0.095	na	0.300158	
0.437814	-1.46847	0.933883	0.916222	1.01621	1.00665	-2.45263	0.375	0.529412	0.490645	na	0.55	0.894737	0.152572	17	0	0	4.79178	5.35263	7.80526	0.1814	-0.811066	0.3	0.35	3	2	6.57895	1.14565	0.15	na	0.560472	
1.00602	-1.44222	0.862409	1.04609	0.9011	1.11571	-0.284211	0.125	0.222222	0.237347	na	0.45	0.905263	0.178261	9	0	0	2.53683	3.27895	3.56316	0.45339	-0.158343	0.25	0.25	2	1	3.42105	0.905192	0.14	na	0.304976	
-0.101422	-2.77213	-0.305787	-0.285916	-0.446062	-0.407614	2.09474	0	0	0.0796103	na	0.55	0.931579	0.123121	14	0	0	3.94617	3.83684	1.74211	-0.0429399	0.816245	0.2	0.2	2	5	2.78947	-0.859972	0.115	na	0.260631	
-0.618999	-3.15943	-1.2164	-1.20988	-0.881051	-0.965696	-3.14737	0.111111	0.210526	0.153103	na	0.6	0.905263	0.0995248	19	0	0	5.35552	4.47895	7.62632	-0.253674	-0.945755	0.3	0.35	3	8	6.05263	0.409633	0.14	na	0.223267	
-0.756606	-0.959214	-0.439179	-0.61635	-0.598148	-0.779688	-1.88421	0.166667	0.307692	0.323731	na	0.4	0.647368	0.106796	13	0	0	3.6643	2.9	4.78421	-0.323268	-0.780821	0.6	0.7	2	5	3.84211	0.13971	0.385	na	0.344828	
-0.855598	-7.21072	-1.20776	-1.28267	-1.49378	-1.55938	-0.505263	0.0833333	0.153846	0.133612	na	0.65	0.942105	0.106865	13	0	0	3.6643	2.8	3.30526	-0.365564	-0.209382	0.2	0.25	2	7	3.05263	-0.480636	0.105	na	0.357143	
