mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:33:13 2008 

Input data from the file: ex08.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 4653

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Ifgamma:               1
Alpha_gamma:           1
P_gamma:               1
Correct_gamma:         5
No_rec_males:          0
Recombination:         10


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
-0.575529	-1.08022	0.690107	0.357213	0.70282	0.358292	-0.450575	0.285714	0.5	0.390094	na	0.233333	0.767816	0.100665	8	0	0	2.01936	1.63678	2.08736	-0.25745	-0.291774	0.433333	0.6	0	1	1.86207	-0.177899	0.257778	na	0.610955	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	1.86207	na	1	na	na	
0.590851	-2.44114	1.22531	1.20338	1.3333	1.30585	1.9954	0.0625	0.117647	0.183206	na	0.466667	0.933333	0.146426	17	0	0	4.29114	5.03218	3.03678	0.234672	0.704088	0.2	0.266667	2	1	4.03448	-0.167928	0.0977778	na	0.198721	
1.16155	1.13518	0.625954	0.941849	0.666711	1.02161	3.25517	0.137931	0.233333	0.261409	na	0.433333	0.917241	0.162161	30	0	0	7.5726	10.0069	6.75172	0.436834	0.698316	0.2	0.233333	3	5	8.37931	0.333763	0.113333	na	0.0999311	
0.00512941	-1.32289	-0.335794	-0.272547	-0.40311	-0.329418	0.689655	0.2	0.333333	0.217412	na	0.233333	0.774713	0.12259	6	0	0	1.51452	1.51724	0.827586	0.00244264	0.552864	0.366667	0.666667	1	2	1.17241	-0.468429	0.251111	na	0.659091	
0.430274	-1.1192	0.531813	0.587979	0.55809	0.623713	3.73333	0.0625	0.0909091	0.175944	na	0.533333	0.949425	0.135843	33	0	0	8.32985	9.31494	5.58161	0.160703	0.734713	0.166667	0.266667	3	6	7.44828	-0.33652	0.0822222	na	0.107354	
0.24666	-1.66347	0.947199	0.849539	1.03717	0.923825	-1.55402	0.12	0.192308	0.21677	na	0.5	0.944828	0.131586	26	0	0	6.56292	7.01609	8.57011	0.0938334	-0.37895	0.166667	0.166667	2	3	7.7931	0.573301	0.0866667	na	0.142529	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	7.7931	na	1	na	na	
1.08975	-2.23335	0.506139	0.825428	0.536676	0.90293	0.68046	0.245614	0.37931	0.384287	na	0.733333	0.972414	0.156887	58	0	0	14.6404	18.892	18.2115	0.394629	0.0793854	0.1	0.133333	5	11	18.5517	0.910452	0.06	na	0.0529326	
-1.147	-1.21145	-1.68214	-1.76554	-1.72095	-1.81063	0.0643678	na	na	na	na	0.0666667	0.0666667	0.179505	1	0	0	0.25242	0.0666667	0.00229885	-1	0.159688	0.966667	1	0	1	0.0344828	-0.842932	0.935556	na	15	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	0.0344828	na	1	na	na	
0.820577	-3.17256	0.00162343	0.310704	-0.0623767	0.293642	1.34253	0.136364	0.217391	0.249399	na	0.566667	0.937931	0.148279	23	0	0	5.80566	7.15402	5.81149	0.315605	0.364851	0.2	0.233333	2	6	6.48276	0.348777	0.0933333	na	0.139781	
