mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 02:04:35 2008 

Input data from the file: ex22.txt

Print_neuttest:        2
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 5474

N_loci:                4
Factorn_chr:           1.000000 1.000000 1.000000 1.000000
N_sites:               1050 560 2456 1000
N_samples:             30 10 24 12
Thetaw:                10 5 35 8.5
No_rec_males:          0
Recombination:         10 0 30 56

Pop_size:              1.00E+06
Ifselection:           0 0 1 0
Pop_sel:               0 0 20000 0
Sel_nt:                0 0 200 0
Sinit:                 0 0 -0.01 0

Recombination parameter value for the studied region and all the region until the selective position.


Neutral tests (excluding multiple hits positions)
avg(TD)	var(TD)	avg(Fs)	var(Fs)	avg(FD*)	var(FD*)	avg(FF*)	var(FF*)	avg(FD)	var(FD) 	avg(FF)	var(FF)	avg(H)	var(H)	avg(B)	var(B)	avg(Q)	var(Q)	avg(ZA)	var(ZA)	avg(Fst)	var(Fst)	avg(Kw)	var(Kw) 	avg(Hw)	var(Hw)	avg(R2)	var(R2)	avg(S)	var(S)	avg(pi_w)	var(pi_w)	avg(pi_b)	var(pi_b)	avg(ThetaWatt)	var(thetaWatt)	avg(ThetaTaj)	var(ThetaTaj)	avg(ThetaFW)	var(ThetaFW)	avg(D/Dmin)	var(D/Dmin)	avg(Hnorm)	var(Hnorm)	avg(maxhap)	var(maxhap)	avg(maxhap1)	var(maxhap1)	avg(Rm)	var(Rm)	avg(theta_fl)	var(theta_fl)	avg(theta_l)	var(theta_l)	avg(zeng_E)	var(zeng_E)	avg(EW-test)	var(EW-test)	avg(Fstw)	var(Fstw)	avg(Pwh)	var(Pwh)
0.0130297	0.130382	-2.52994	9.26211	0.121946	0.43389	0.105923	0.43136	0.0325487	0.693432	0.0184045	0.675102	3.52543	14.7219	0.258688	0.074254	0.405228	0.159201	0.35848	0.0699473	na	na	0.702083	0.0927025	0.863889	0.0555009	0.145519	0.000911174	52	3748.67	0	0	0	0	14.0562	260.393	14.6861	285.52	11.1606	196.89	-0.0169925	0.0239088	0.231102	0.547827	0.270833	0.0830324	0.270833	0.0830324	5.75	29.5833	12	200.667	12.9234	237.525	-0.214115	0.368539	0.187812	0.0555804	na	na	0.460225	0.486066	
-0.399807	0.562084	-4.1116	29.2267	-0.573764	0.47269	-0.608825	0.666324	-0.481615	0.466191	-0.541658	0.654071	3.30082	73.279	0.199426	0.0347223	0.299155	0.0639218	0.275266	0.0373206	na	na	0.764583	0.0374248	0.941327	0.00643156	0.136887	0.00247197	64.5	6593.67	0	0	0	0	17.7169	457.105	17.5147	541.41	14.2139	226.685	-0.174358	0.0978628	-0.251365	1.12379	0.195833	0.0196991	0.229167	0.0341435	5.5	38.3333	19.75	408.917	15.8643	365.727	-0.0751323	1.21702	0.117951	0.0098065	na	na	0.256715	0.0879752	
-0.237355	0.45706	-2.38332	3.39849	-0.479958	0.434924	-0.468757	0.486947	-0.716566	0.604882	-0.673587	0.693374	0.972195	0.370822	0.145857	0.00193448	0.258094	0.00858005	0.227996	0.00798782	na	na	0.766667	0.0392593	0.94662	0.00352034	0.123497	0.00114008	43.5	927	0	0	0	0	12.3879	58.3035	11.0106	24.0289	10.0384	27.1831	-0.0934725	0.0711837	0.194474	0.0152375	0.19375	0.0200637	0.2375	0.0330324	3.75	14.25	17.25	182.917	10.5245	25.5133	-0.414767	0.270952	0.113924	0.00520849	na	na	0.243731	0.0139538	
0.06059	0.315193	-2.0815	12.6756	0.220911	0.453431	0.203985	0.550184	0.251702	0.606632	0.225035	0.72294	-1.43775	31.7402	0.169144	0.00771258	0.228575	0.00931939	0.286203	0.00837145	na	na	0.8375	0.0389583	0.974694	0.0012789	0.133393	0.000407785	73.25	6566.25	0	0	0	0	20.4883	445.082	22.8367	721.015	24.2744	979.104	0.0118847	0.0462942	0.0571407	0.417217	0.14375	0.0070081	0.16875	0.00659144	5.25	28.9167	13	28	23.5555	842.124	0.0272027	0.756637	0.0889931	0.000331834	na	na	0.135552	0.00237654	
-0.247361	0.100926	-1.58091	4.10504	0.116926	0.0219947	0.00526106	0.0553344	0.0737214	0.0154968	-0.0446592	0.0493342	-2.88814	45.8202	0.141815	0.00694563	0.233142	0.0128557	0.240484	0.00658118	na	na	0.7	0.0290741	0.941508	0.00272705	0.126228	0.000739384	44.75	2005.58	0	0	0	0	12.523	133.916	11.4741	108.439	14.3623	283.945	-0.0905017	0.0168599	-0.216146	0.476906	0.2	0.00444444	0.241667	0.0121296	4	10	12	117.333	12.9182	184.737	-0.00166367	0.749336	0.118646	0.00466418	na	na	0.265458	0.0205111	
-0.00843971	0.319007	-2.26247	2.84087	-0.0851243	0.192281	-0.0847371	0.206144	-0.163557	0.278357	-0.151058	0.263998	2.98412	9.19545	0.174349	0.0127647	0.243081	0.0129416	0.263724	0.0135156	na	na	0.802083	0.0277951	0.956095	0.00202126	0.133218	0.00124517	58.75	2838.92	0	0	0	0	16.3656	187.774	15.251	134.768	12.2669	74.597	0.0214245	0.0704408	0.295124	0.00846233	0.183333	0.0135185	0.225	0.0275	5.75	20.9167	16.75	124.917	13.7589	102.384	-0.346817	0.281201	0.105521	0.00296544	na	na	0.212198	0.0520713	
-0.271184	0.130182	-1.96747	5.23163	-0.00679395	0.151014	-0.108542	0.138955	-0.10557	0.265131	-0.209847	0.242917	0.573551	14.592	0.10573	0.000832876	0.179683	0.000811719	0.224701	0.00034569	na	na	0.75625	0.0264525	0.958246	0.00220427	0.125854	0.000648369	50.75	1580.25	0	0	0	0	14.3613	98.9628	12.815	56.3967	12.2415	113.542	-0.102264	0.0188363	0.282951	0.452433	0.1625	0.00969907	0.20625	0.0170081	4	13.3333	16	196.667	12.5283	81.3211	-0.559307	0.371431	0.102882	0.00456589	na	na	0.126143	0.00853648	
0.451085	0.255931	-1.17037	2.69283	0.194236	0.304368	0.304491	0.361819	0.199504	0.288865	0.343933	0.38225	1.18093	2.89484	0.113182	0.00611653	0.162044	0.0119352	0.251622	0.00442668	na	na	0.745833	0.023588	0.955041	0.00207578	0.154228	0.00136159	55.25	2934.92	0	0	0	0	15.2636	194.935	15.6343	152.919	14.4534	187.104	0.211988	0.0552339	0.347619	0.264016	0.170833	0.00858796	0.179167	0.00803241	5.75	24.25	15.75	306.25	15.0439	169.288	0.0121008	0.19918	0.105972	0.00422497	na	na	0.14532	0.0172816	
-0.579676	0.152118	-2.92189	2.0272	-0.435115	0.134109	-0.542988	0.167247	-0.526875	0.302874	-0.657738	0.341301	-1.59318	41.6012	0.10752	0.00586119	0.157868	0.0119001	0.235304	0.00175826	na	na	0.733333	0.0598148	0.869688	0.0503902	0.12193	0.000359845	58.75	4054.25	0	0	0	0	16.1509	281.589	15.0084	281.505	16.6016	522.43	-0.29564	0.0710776	0.198886	0.265598	0.270833	0.0830324	0.320833	0.10581	5	20.6667	17.25	196.917	15.805	391.567	-0.619055	0.546908	0.182569	0.051014	na	na	0.4001	0.379122	
-0.182418	2.38482	0.0291447	20.9232	-0.110995	1.51938	-0.177783	2.18202	-0.120682	2.32791	-0.171306	3.29773	-1.61226	54.3304	0.219672	0.0222111	0.284781	0.0146427	0.310825	0.0370693	na	na	0.622917	0.0489525	0.901618	0.0078014	0.133242	0.00679637	43	918.667	0	0	0	0	12.3214	56.4474	10.858	30.401	12.4702	6.44659	-0.0237308	0.490892	-0.539223	1.37606	0.260417	0.0103414	0.289583	0.00682292	2.75	9.58333	15.5	356.333	11.6641	4.84119	0.346958	1.64259	0.155521	0.00972223	na	na	0.436007	0.184522	
