mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:31:24 2008 

Input data from the file: ex00.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 7354

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             25
Thetaw:                5
No_rec_males:          0
Recombination:         10


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
1.35247	0.853646	0.287096	0.721387	0.260925	0.759778	0.64	0.142857	0.227273	0.263654	na	0.44	0.88	0.17338	22	0	0	5.82634	7.98667	7.34667	0.531272	0.175504	0.28	0.32	4	5	7.66667	0.972954	0.1552	na	0.250417	
1.07024	0.236627	1.15119	1.31909	1.28238	1.46923	3.33	0.0869565	0.166667	0.285137	na	0.48	0.926667	0.16802	24	0	0	6.356	8.20667	4.87667	0.417192	0.845773	0.2	0.2	3	2	6.54167	0.0914732	0.1104	na	0.121852	
-1.72726	-4.72686	-2.45511	-2.61225	-1.70846	-2.08499	-6.30333	0.407407	0.428571	0.434382	na	0.56	0.946667	0.102065	28	0	0	7.41534	3.97333	10.2767	-0.665078	-1.39535	0.16	0.2	1	14	7.125	-0.125971	0.0912	na	1.76174	
-0.737365	-4.12987	-0.445336	-0.623566	-0.578561	-0.758139	1.34	0.0769231	0.142857	0.140448	na	0.48	0.886667	0.0944263	14	0	0	3.70767	2.92	1.58	-0.304393	0.540736	0.28	0.36	1	5	2.25	-1.09534	0.1488	na	0.342466	
0.872503	-0.948188	1.09271	1.1998	1.20821	1.32792	-4.64333	0.190476	0.318182	0.326368	na	0.52	0.933333	0.160928	22	0	0	5.82634	7.22	11.8633	0.342732	-1.27332	0.16	0.2	3	2	9.54167	1.96424	0.104	na	0.138504	
0.0181031	-2.05852	0.215616	0.180839	0.176805	0.149476	0.0566667	0.208333	0.32	0.299927	na	0.56	0.926667	0.125666	25	0	0	6.62084	6.65333	6.59667	0.00703277	0.0138808	0.24	0.32	2	6	6.625	0.00198413	0.1104	na	0.150301	
0.129831	-4.94664	0.564109	0.504278	0.580646	0.522102	1.25	0.0625	0.117647	0.152834	na	0.6	0.953333	0.131592	17	0	0	4.50217	4.66667	3.41667	0.0523518	0.428394	0.16	0.2	3	3	4.04167	-0.29845	0.0848	na	0.214286	
-0.122616	-0.77212	-0.587248	-0.521496	-0.736403	-0.647988	2.22333	0	0	0.0434053	na	0.36	0.896667	0.122392	13	0	0	3.44283	3.32	1.09667	-0.0511208	0.953868	0.16	0.32	1	5	2.20833	-0.980322	0.1392	na	0.301205	
-0.456314	0.181325	0.681831	0.388687	0.720485	0.399375	-1.96333	0.277778	0.368421	0.37682	na	0.36	0.843333	0.111625	19	0	0	5.03184	4.39333	6.35667	-0.181814	-0.611656	0.36	0.52	1	3	5.375	0.203901	0.1904	na	0.91047	
0.0773822	-1.12553	0.780545	0.659919	0.839387	0.708268	-5.72333	0.25	0.380952	0.339037	na	0.48	0.88	0.131138	21	0	0	5.5615	5.68	11.4033	0.0305288	-1.63469	0.32	0.36	2	3	8.54167	1.63551	0.1552	na	0.352113	
-0.147865	-5.65912	-0.723144	-0.639088	-0.920744	-0.802971	1.57667	0	0	0.0974729	na	0.64	0.956667	0.113424	20	0	0	5.29667	5.08	3.50333	-0.0586119	0.469862	0.16	0.2	1	8	4.29167	-0.573412	0.0816	na	0.19685	
1.29768	1.32058	0.883952	1.18958	0.984269	1.33291	0.973333	0.194444	0.297297	0.31471	na	0.52	0.913333	0.172681	37	0	0	9.79884	13.1533	12.18	0.490507	0.16725	0.24	0.28	6	5	12.6667	0.982317	0.1232	na	0.0760264	
0.147409	-2.588	-0.192266	-0.101684	0.244267	0.256805	-2.43	0.28	0.461538	0.357439	na	0.6	0.95	0.129434	26	0	0	6.88567	7.16	9.59	0.0570848	-0.574814	0.16	0.28	2	6	8.375	0.687135	0.088	na	0.27933	
-0.0545323	-0.90251	-0.0600275	-0.0683579	-0.151697	-0.144175	0.946667	0.148148	0.25	0.240327	na	0.52	0.923333	0.122728	28	0	0	7.41534	7.30667	6.36	-0.0209976	0.209561	0.24	0.24	2	8	6.83333	-0.252518	0.1136	na	0.136861	
0.097257	0.399003	-0.192266	-0.119935	-0.307331	-0.206625	2.21667	0.24	0.423077	0.329219	na	0.44	0.883333	0.126766	26	0	0	6.88567	7.06667	4.85	0.0376633	0.52435	0.24	0.28	2	8	5.95833	-0.427847	0.152	na	0.141509	
0.408449	-2.17211	1.02272	0.977273	1.09199	1.04883	-0.38	0.0909091	0.166667	0.202809	na	0.44	0.89	0.145917	12	0	0	3.178	3.56	3.94	0.172227	-0.174058	0.28	0.28	2	1	3.75	0.481775	0.1456	na	0.280899	
0.430701	-0.887553	1.28565	1.19476	1.45644	1.345	-0.363333	0.137931	0.233333	0.286558	na	0.56	0.93	0.145587	30	0	0	7.945	8.86	9.22333	0.165013	-0.075583	0.2	0.36	4	2	9.04167	0.449118	0.1072	na	0.225734	
1.21492	0.63973	0.969565	1.22542	1.07166	1.36077	3.29333	0.08	0.115385	0.250562	na	0.48	0.91	0.172082	26	0	0	6.88567	9.14667	5.85333	0.470485	0.779035	0.24	0.28	4	3	7.5	0.283435	0.1264	na	0.218659	
-0.484386	-3.16611	0.387018	0.147629	0.370243	0.121852	-0.73	0	0	0.154914	na	0.4	0.853333	0.108448	10	0	0	2.64833	2.26	2.99	-0.2101	-0.387042	0.36	0.44	1	2	2.625	-0.0224082	0.1808	na	0.442478	
0.982076	-1.70835	0.272466	0.577513	0.244267	0.600688	2.51	0.28	0.423077	0.352773	na	0.6	0.95	0.159925	26	0	0	6.88567	8.71333	6.20333	0.380314	0.593738	0.12	0.16	2	6	7.45833	0.264211	0.088	na	0.114767	
-0.512095	-3.75866	-1.10509	-1.08006	-1.35205	-1.29899	0.373333	0	0	0.0655882	na	0.52	0.906667	0.101186	17	0	0	4.50217	3.85333	3.48	-0.206493	0.127947	0.24	0.32	1	8	3.66667	-0.541486	0.1296	na	0.259516	
-0.304819	-2.09509	0.0510774	-0.0668473	0.413461	0.21656	-3.08	0.214286	0.333333	0.245808	na	0.44	0.87	0.114463	15	0	0	3.9725	3.62667	6.70667	-0.124738	-1.17334	0.32	0.44	1	3	5.16667	0.85184	0.1648	na	0.275735	
-0.575533	-4.05895	0.150698	-0.0852117	0.101044	-0.150328	-1.01	0.157895	0.3	0.202924	na	0.56	0.91	0.104252	20	0	0	5.29667	4.45333	5.46333	-0.228134	-0.30099	0.24	0.28	3	5	4.95833	-0.19304	0.1264	na	0.224551	
