mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 02:01:05 2008 

Input data from the file: ex18.txt

Print_neuttest:        2
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 670

N_loci:                4
Factorn_chr:           1.000000 1.000000 1.000000 1.000000
N_sites:               1050 560 2456 1000
N_samples:             30 10 24 12
Thetaw:                10 5 35 8.5
No_rec_males:          0
Recombination:         10 0 30 56

Pop_size:              1.00E+06
Ifselection:           0 0 1 0
Pop_sel:               0 0 20000 0
Sel_nt:                0 0 200 0
Sinit:                 0 0 -0.01 0

Recombination parameter value for the studied region and all the region until the selective position.


Neutral tests (excluding multiple hits positions)
avg(TD)	var(TD)	avg(Fs)	var(Fs)	avg(FD*)	var(FD*)	avg(FF*)	var(FF*)	avg(FD)	var(FD) 	avg(FF)	var(FF)	avg(H)	var(H)	avg(B)	var(B)	avg(Q)	var(Q)	avg(ZA)	var(ZA)	avg(Fst)	var(Fst)	avg(Kw)	var(Kw) 	avg(Hw)	var(Hw)	avg(R2)	var(R2)	avg(S)	var(S)	avg(pi_w)	var(pi_w)	avg(pi_b)	var(pi_b)	avg(ThetaWatt)	var(thetaWatt)	avg(ThetaTaj)	var(ThetaTaj)	avg(ThetaFW)	var(ThetaFW)	avg(D/Dmin)	var(D/Dmin)	avg(Hnorm)	var(Hnorm)	avg(maxhap)	var(maxhap)	avg(maxhap1)	var(maxhap1)	avg(Rm)	var(Rm)	avg(theta_fl)	var(theta_fl)	avg(theta_l)	var(theta_l)	avg(zeng_E)	var(zeng_E)	avg(EW-test)	var(EW-test)	avg(Fstw)	var(Fstw)	avg(Pwh)	var(Pwh)
-0.392203	0.889719	-2.72555	10.6236	-1.02889	2.52216	-0.981363	2.60421	-1.33699	3.4614	-1.2423	3.40594	3.13805	8.05703	0.139352	0.00741684	0.215073	0.0156006	0.228131	0.0183849	na	na	0.739583	0.00811921	0.948169	0.000664267	0.118422	0.00173367	50	2402	0	0	0	0	13.8896	161.267	12.4695	164.492	9.33146	103.418	-0.132559	0.128658	0.470092	0.0905402	0.210417	0.00395255	0.254167	0.010625	4	18.6667	21.5	264.333	10.9005	131.941	-0.838014	0.558879	0.112743	0.0022265	na	na	0.194736	0.0239288	
-0.0565412	1.2318	-0.710717	5.13063	-0.252098	1.24955	-0.219729	1.58611	-0.435838	2.02875	-0.388367	2.61661	2.15431	3.13642	0.163638	0.00253825	0.273529	0.00345124	0.262378	0.00416983	na	na	0.664583	0.0723322	0.845219	0.0460943	0.150658	0.000922205	46.75	1646.25	0	0	0	0	12.9175	106.67	13.5907	129.961	11.4364	99.8104	-0.059036	0.301574	0.305704	0.0287689	0.320833	0.0746991	0.329167	0.0752546	5	17.3333	13.25	82.9167	12.5136	114.102	-0.305936	1.02893	0.206215	0.0455545	na	na	0.310192	0.1461	
0.695447	0.265228	-1.07154	11.1386	0.580916	0.324356	0.719444	0.379697	0.5582	0.446692	0.742616	0.520446	3.36314	23.6055	0.161139	0.0136398	0.25267	0.0362611	0.270049	0.0148602	na	na	0.679167	0.111736	0.894549	0.0210214	0.168114	0.000901854	56.5	3660.33	0	0	0	0	15.3854	253.031	17.7499	291.354	14.3868	158.833	0.309358	0.0328824	0.395758	0.0978186	0.241667	0.0400926	0.316667	0.114259	5.25	20.25	13.75	341.583	16.0683	219.192	0.202739	0.437945	0.161319	0.0224631	na	na	0.354259	0.330776	
0.0770293	0.132273	-1.7428	2.92781	0.221341	0.219495	0.209359	0.256519	0.165299	0.367954	0.156368	0.400261	1.77885	9.1683	0.090749	0.00352547	0.16107	0.0119322	0.210472	0.0086396	na	na	0.758333	0.0334259	0.941144	0.00464212	0.13825	0.000287768	51.25	1878.92	0	0	0	0	14.3486	122.499	14.5525	116.741	12.7737	110.103	0.0241428	0.0194027	0.120114	0.518785	0.2125	0.0180324	0.2375	0.0330324	5	16.6667	13	112.667	13.6631	111.13	-0.0625385	0.684913	0.118681	0.00699205	na	na	0.146273	0.00481333	
-0.512875	0.0745454	-0.983707	1.88149	-0.471625	0.0671204	-0.561055	0.0981634	-0.604675	0.0868556	-0.698755	0.111836	0.175428	1.18243	0.114698	0.0020779	0.191078	0.00421032	0.206515	0.010481	na	na	0.672917	0.0230266	0.894923	0.00787906	0.116031	0.00060989	49.75	2094.92	0	0	0	0	13.7976	136.51	11.9114	102.838	11.7359	122.132	-0.209392	0.0106333	0.0769927	0.013137	0.297917	0.0239062	0.354167	0.0324769	2.75	12.9167	18	220.667	11.8237	112.19	-0.527771	0.0742632	0.161806	0.0100772	na	na	0.170394	0.0021055	
0.461069	0.917797	-1.50551	9.98826	-0.0215521	1.01879	0.12123	1.23142	0.00138833	1.03089	0.182563	1.4085	-5.0874	30.8135	0.322598	0.0540526	0.408702	0.0407192	0.40352	0.0453857	na	na	0.73125	0.0393692	0.919409	0.0121812	0.156174	0.00331966	49	2138	0	0	0	0	13.7059	140.238	13.5757	84.9632	18.6631	212.73	0.236219	0.205147	-0.54648	0.13001	0.239583	0.0305266	0.283333	0.0448148	4	13.3333	16.75	423.583	16.1194	141.143	0.921379	0.24914	0.138194	0.0149826	na	na	0.512415	0.424299	
0.332792	0.0614475	-0.896179	0.973639	0.493033	0.0949952	0.512849	0.0801128	0.486338	0.150746	0.528826	0.126516	3.23226	16.4613	0.154832	0.00426756	0.270166	0.0138102	0.264725	0.00318478	na	na	0.704167	0.0115509	0.939228	0.00415387	0.149955	0.000521173	55	3699.33	0	0	0	0	15.0647	252.027	16.6386	335.848	13.4064	214.79	0.143476	0.0100056	0.401931	0.11099	0.1875	0.0213657	0.245833	0.0121065	5.5	43	10.75	100.917	15.0225	271.204	-0.128137	0.0566774	0.120139	0.00739267	na	na	0.130296	0.00744164	
-0.266977	0.117686	-2.90057	11.8438	-0.300642	0.110577	-0.32983	0.1171	-0.501611	0.193779	-0.516602	0.215338	2.368	13.3394	0.138073	0.00237977	0.222143	0.00294082	0.224415	0.00213328	na	na	0.779167	0.0539583	0.946725	0.00572665	0.119424	0.000142485	50.75	3602.25	0	0	0	0	14.0929	247.358	14.1023	284.209	11.7343	210.654	-0.128922	0.0268753	0.370359	0.461566	0.202083	0.0197396	0.252083	0.0149248	5	24.6667	17	350	12.9183	244.097	-0.597412	0.592398	0.11566	0.00318862	na	na	0.179518	0.0106923	
0.440869	1.05067	-0.706406	3.88556	0.32866	0.514429	0.404256	0.835309	0.420631	0.584735	0.513177	1.05385	-1.22796	12.5571	0.218534	0.0314038	0.273234	0.0258115	0.343921	0.0297119	na	na	0.710417	0.0285822	0.950435	0.00188972	0.156724	0.00274715	53.5	2568.33	0	0	0	0	15.1549	169.765	14.2439	57.8372	15.4719	121.807	0.217443	0.181677	-0.00390814	0.0569514	0.170833	0.00858796	0.2125	0.0180324	4	8.66667	15	400.667	14.8579	86.6829	0.354401	0.473154	0.110243	0.00416454	na	na	0.37431	0.178451	
-0.176148	0.794286	-0.35577	2.75251	-0.503888	0.0985878	-0.452186	0.266967	-0.532717	0.236809	-0.494878	0.512543	-1.45391	15.3248	0.167172	0.0179971	0.250386	0.036963	0.289705	0.0199228	na	na	0.670833	0.035625	0.922848	0.00243057	0.123664	0.000772484	49.5	2517.67	0	0	0	0	13.8816	168.376	12.5693	97.2218	14.0232	186.71	-0.0940201	0.133671	0.0152454	0.148998	0.24375	0.0134896	0.302083	0.0247396	3.75	8.91667	18.5	387	13.2963	138.135	-0.159477	0.67088	0.136146	0.0043587	na	na	0.284222	0.0811652	
