mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:35:57 2008 

Input data from the file: ex13.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 213

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Thetaw:                10
No_rec_males:          0
Ifgammar:              1
Alpha_gammar:          0.5
P_gammar:              0.5
Correct_gammar:        5


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
-0.968298	-8.53024	-1.80249	-1.80583	-2.16495	-2.11998	0.947126	0	0	0.0510713	na	0.633333	0.956322	0.0802697	26	0	0	6.56292	4.78391	3.83678	-0.368356	0.230957	0.133333	0.166667	2	14	4.31034	-1.04976	0.0755556	na	0.209034	
1.15376	3.45522	0.955911	1.20416	1.06703	1.33856	2.75862	0.15	0.219512	0.323652	na	0.4	0.887356	0.161998	41	0	0	10.3492	13.5862	10.8276	0.425032	0.444974	0.266667	0.3	0	5	12.2069	0.588247	0.142222	na	0.515228	
1.16523	2.58184	0.788386	1.0756	0.867554	1.18768	-3.38391	0.15	0.243902	0.315042	na	0.433333	0.908046	0.161863	41	0	0	10.3492	13.6184	17.0023	0.429258	-0.545834	0.233333	0.3	1	6	15.3103	1.57097	0.122222	na	0.14686	
-0.0653725	-8.18341	-0.500498	-0.422246	-0.67046	-0.551701	-2.23448	0.0909091	0.177778	0.180662	na	0.8	0.986207	0.114142	45	0	0	11.3589	11.1586	13.3931	-0.0239591	-0.330641	0.0666667	0.133333	4	15	12.2759	0.267625	0.0466667	na	0.0896168	
-2.10872	-10.7318	-2.92653	-3.13271	-3.37485	-3.55371	1.4069	0.0666667	0.125	0.080264	na	0.466667	0.852874	0.0473354	16	0	0	4.03872	1.53103	0.124138	-0.843755	0.522535	0.366667	0.5	0	12	0.827586	-2.20131	0.175556	na	0.653153	
0.0201252	-3.41889	-0.0621449	-0.041647	-0.143748	-0.103864	2.71264	0.0833333	0.135135	0.129595	na	0.633333	0.958621	0.11899	37	0	0	9.33953	9.3908	6.67816	0.00745987	0.480909	0.166667	0.2	5	10	8.03448	-0.451704	0.0733333	na	0.106487	
0.242611	-1.76103	-0.216763	-0.0784324	-0.329289	-0.151238	5.50805	0.05	0.097561	0.138991	na	0.6	0.958621	0.127366	41	0	0	10.3492	11.0299	5.52184	0.0893753	0.888464	0.133333	0.166667	2	12	8.27586	-0.656539	0.0733333	na	0.0906628	
1.46846	-2.80076	0.803838	1.20673	0.890786	1.34249	-1.58161	0.170213	0.291667	0.332272	na	0.733333	0.981609	0.17148	48	0	0	12.1162	16.8989	18.4805	0.536408	-0.22038	0.0666667	0.133333	5	7	17.6897	1.53654	0.0511111	na	0.0591756	
-1.75212	-2.59596	-3.55123	-3.49609	-2.97316	-3.09007	-7.83448	0.305556	0.351351	0.311088	na	0.466667	0.887356	0.104431	37	0	0	9.33953	4.87586	12.7103	-0.649463	-1.38893	0.233333	0.266667	0	23	8.7931	-0.18913	0.142222	na	2.25601	
-0.666628	-2.5519	-1.26671	-1.26399	-1.53362	-1.49422	2.3908	0	0	0.0503823	na	0.466667	0.887356	0.0951361	24	0	0	6.05808	4.91954	2.52874	-0.255387	0.62584	0.3	0.3	1	11	3.72414	-1.16138	0.142222	na	0.203271	
-0.151738	1.70339	1.22492	0.912237	1.39447	1.01971	-1.65517	0.152174	0.191489	0.236287	na	0.433333	0.901149	0.118441	47	0	0	11.8637	11.3793	13.0345	-0.0554868	-0.235204	0.266667	0.333333	3	4	12.2069	0.0963852	0.128889	na	0.175758	
-0.459142	1.20682	1.18196	0.755216	1.35614	0.845094	-9.45287	0.306452	0.349206	0.338767	na	0.5	0.926437	0.107832	63	0	0	15.9024	13.9632	23.4161	-0.165712	-1.01987	0.2	0.233333	0	6	18.6897	0.601994	0.104444	na	1.2891	
-0.857329	-3.59508	0.136512	-0.215509	0.0932723	-0.28733	2.4092	0	0	0.0477237	na	0.5	0.937931	0.0898573	25	0	0	6.3105	4.7908	2.38161	-0.32725	0.608298	0.166667	0.233333	0	6	3.58621	-1.31116	0.0933333	na	0.208733	
-0.0862627	-0.847583	0.815787	0.612204	0.909069	0.667803	2.57471	0.0925926	0.145455	0.190015	na	0.6	0.956322	0.118912	55	0	0	13.8831	13.5632	10.9885	-0.0313096	0.31579	0.133333	0.166667	4	8	12.2759	-0.392427	0.0755556	na	0.0737288	
0.581161	0.00959631	0.540991	0.654272	0.576066	0.70554	1.28736	0.125	0.183673	0.217829	na	0.566667	0.96092	0.140295	49	0	0	12.3686	14.2989	13.0115	0.212074	0.175958	0.1	0.166667	1	9	13.6552	0.34827	0.0711111	na	0.279743	
-0.692196	-1.27776	0.254183	-0.0601431	0.230234	-0.111716	3.54943	0.0769231	0.148148	0.156954	na	0.433333	0.924138	0.0965304	27	0	0	6.81534	5.49885	1.94943	-0.262492	0.836909	0.2	0.266667	0	6	3.72414	-1.39637	0.106667	na	0.363712	
-0.155135	0.842171	0.111388	0.0278579	0.060388	-0.021969	-8.69885	0.25	0.320755	0.409856	na	0.5	0.875862	0.114122	53	0	0	13.3783	12.823	21.5218	-0.056401	-1.10472	0.333333	0.466667	2	13	17.1724	0.957664	0.153333	na	0.389925	
0.986622	0.838389	0.130267	0.479722	0.0853114	0.487981	3.47586	0.0357143	0.0689655	0.170703	na	0.433333	0.889655	0.153926	29	0	0	7.32018	9.32414	5.84828	0.372011	0.768758	0.266667	0.3	2	7	7.58621	0.113237	0.14	na	0.107249	
0.216203	0.531306	-0.275826	-0.138999	-0.383337	-0.213505	3.08046	0.0454545	0.0869565	0.157714	na	0.366667	0.885057	0.12615	23	0	0	5.80566	6.16092	3.08046	0.0831546	0.837158	0.266667	0.3	0	7	4.62069	-0.610379	0.144444	na	0.162313	
