mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 02:04:10 2008 

Input data from the file: ex21.txt

Print_neuttest:        2
Print_matrixpol:       0
N_iterations:          100
Seed1:                 672

N_loci:                1
Nlinked_loci:          2
Pos_linked:            12 500, 1056 1349
Linked_segsites:       2 10
Linked_rm:             2 0
Factorn_chr:           1.000000
N_sites:               1350
N_samples:             12
Range_thetant:         1
Thetant_min:           0.005000
Thetant_max:           0.010000
No_rec_males:          0
Ifgammar:              1
Alpha_gammar:          1
P_gammar:              1
Correct_gammar:        1
Rm:                   
Nhapl:                 0
Rmfix:                 1
Method_samp:           1

REJECTION ALGORITHM OF TAVARE et al. 1997. Fix S and screening all probable thetas.  Rejection algorithm n. 2.
REJECTION ALGORITHM. Fix Rm (and optionally nhapl) and screening all probable R.

Neutral tests (excluding multiple hits positions)
avg(TD)	avg(Fs)	avg(FD*)	avg(FF*)	avg(FD)	avg(FF)	avg(H)	avg(B)	avg(Q)	avg(ZA)	avg(Fst)	avg(Kw)	avg(Hw)	avg(R2)	avg(S)	avg(pi_w)	avg(pi_b)	avg(ThetaWatt)	avg(ThetaTaj)	avg(ThetaFW)	avg(D/Dmin)	avg(Hnorm)	avg(maxhap)	avg(maxhap1)	avg(Rm)	avg(theta_fl)	avg(theta_l)	avg(zeng_E)	avg(EW-test)	avg(Fstw)	avg(Pwh)
1.74759	3.45041	1.34684	1.64553	1.45836	1.84233	-0.818182	0.638889	0.8	0.703439	na	0.291667	0.757576	0.238636	7.5	0	0	2.48354	3.68182	4.5	0.888497	-0.689568	0.375	0.5	0	0	4.09091	1.89646	0.305556	na	1.0011	
-0.123629	-0.454349	-0.493462	-0.45145	-0.702085	-0.64818	1.12121	0.166667	0.25	0.271343	na	0.458333	0.772727	0.153207	7.5	0	0	2.48354	2.4697	1.34848	-0.0741758	0.618589	0.458333	0.541667	0	3.5	1.90909	-0.666959	0.291667	na	0.490226	
0.560833	0.543644	0.0538546	0.208142	-0.0622695	0.125496	-0.106061	0.236111	0.4	0.321442	na	0.416667	0.772727	0.174126	7.5	0	0	2.48354	2.81061	2.91667	0.294311	-0.000427796	0.416667	0.416667	0	2.5	2.86364	0.399473	0.291667	na	0.390776	
-1.31597	0.704108	-1.5881	-1.72126	-0.943083	-1.2422	-1.5	0.555556	0.6	0.574026	na	0.333333	0.522727	0.218987	7.5	0	0	2.48354	1.75	3.25	-0.695998	-1.18915	0.583333	0.666667	0	4	2.5	0.18619	0.520833	na	3.1875	
-0.245525	0.721724	0.355067	0.227653	0.253371	0.139885	0.69697	0.305556	0.5	0.364454	na	0.375	0.712121	0.14824	7.5	0	0	2.48354	2.25758	1.56061	-0.115631	0.301624	0.5	0.541667	0	2.5	1.90909	-0.490763	0.347222	na	0.758295	
-0.238157	0.0555302	0.601172	0.438466	0.577546	0.429404	1.43939	0.0555556	0.1	0.122241	na	0.416667	0.765152	0.146098	7.5	0	0	2.48354	2.40152	0.962121	-0.134055	0.870075	0.416667	0.5	0	1.5	1.68182	-0.979604	0.298611	na	0.654673	
-0.223996	1.88295	0.450565	0.314231	0.419726	0.289869	-0.681818	0.652778	0.8	0.704762	na	0.291667	0.590909	0.157735	7.5	0	0	2.48354	2.34091	3.02273	-0.115631	-0.679725	0.583333	0.75	0	1.5	2.68182	0.456443	0.458333	na	1.60194	
0.367094	-0.659948	0.751778	0.740465	0.735366	0.758014	1.69697	0.111111	0.2	0.255454	na	0.5	0.863636	0.172488	7.5	0	0	2.48354	2.66667	0.969697	0.197584	1.02767	0.291667	0.5	0	1.5	1.81818	-0.726573	0.208333	na	0.405134	
-1.55006	-1.62473	-1.8342	-1.99746	-2.30589	-2.50816	1.10606	0.111111	0.15	0.184665	na	0.458333	0.689394	0.109276	7.5	0	0	2.48354	1.50758	0.401515	-0.801938	0.666424	0.541667	0.708333	0	6.5	0.954545	-1.73339	0.368056	na	0.760069	
-0.285218	1.21494	0.799527	0.59175	0.818544	0.622412	-1.27273	0.597222	0.65	0.634156	na	0.333333	0.613636	0.147348	7.5	0	0	2.48354	2.36364	3.63636	-0.157085	-0.900856	0.583333	0.625	0	1	3	0.652505	0.4375	na	1.53588	
0.585155	1.74088	1.34684	1.30541	1.45836	1.45624	-2.22045e-16	0.347222	0.5	0.454444	na	0.333333	0.727273	0.190909	7.5	0	0	2.48354	2.81818	2.81818	0.30813	-0.120097	0.5	0.5	0	0	2.81818	0.508107	0.333333	na	0.6625	
-0.886468	0.250251	-1.23913	-1.30244	-1.5829	-1.66329	0.30303	0.430556	0.5	0.480161	na	0.375	0.719697	0.178675	7.5	0	0	2.48354	1.9697	1.66667	-0.465693	0.284308	0.458333	0.625	0	5	1.81818	-0.877598	0.340278	na	1.48198	
0.819996	1.35177	0.450565	0.619764	0.419726	0.63692	-0.848485	0.458333	0.55	0.514291	na	0.375	0.780303	0.188331	7.5	0	0	2.48354	3.12121	3.9697	0.404858	-0.348701	0.375	0.583333	0	1.5	3.54545	0.959844	0.284722	na	0.954243	
-1.29594	-1.96776	-1.04078	-1.25452	-1.3419	-1.58742	1.42424	0.180556	0.3	0.221384	na	0.5	0.742424	0.137967	7.5	0	0	2.48354	1.71212	0.287879	-0.677574	0.817829	0.458333	0.625	0	4.5	1	-1.691	0.319444	na	0.719329	
