mlcoalsim version 094beta (20060404)
OUTPUT FILE: date Wed Apr  5 11:20:41 2006 

Input data from the file: /Users/user/Documents/WorkatUB/mlcoal/mlcoalsim094/build/input.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 111

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1000
N_samples:             20
Thetaw:                5
Recombination:         10


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
-0.77785	-2.3223	-0.52854	-0.698	-0.71126	-0.88386	-0.27368	0.14286	0.2	0.18585	na	0.5	0.89474	0.09849	15	0	0	4.228	3.3368	3.6105	-0.32668	-0.010136	0.25	0.45	
0.07626	-1.8027	0.32029	0.28911	0.28821	0.26707	-3.5895	0.125	0.23529	0.26065	na	0.55	0.91579	0.13412	17	0	0	4.7918	4.8895	8.4789	0.031597	-0.1173	0.25	0.4	
0.6204	-1.2492	0.37479	0.52005	0.35531	0.53562	2.9368	0.047619	0.090909	0.25111	na	0.6	0.9	0.15433	22	0	0	6.2011	7.2053	4.2684	0.25096	0.074163	0.3	0.3	
-0.14697	-2.2722	-0.72771	-0.64812	-0.95059	-0.84123	0.97895	0	0	0.15122	na	0.55	0.91579	0.11899	16	0	0	4.5099	4.3316	3.3526	-0.061285	0.033991	0.2	0.25	
-0.32351	-0.59571	1.2997	0.97092	1.3777	1.042	-1.2842	0.16667	0.28571	0.26576	na	0.3	0.75789	0.12707	7	0	0	1.9731	1.7789	3.0632	-0.1525	-0.10192	0.45	0.65	
-0.21068	-3.5295	0.31063	0.18203	0.27858	0.1446	-1.4105	0.16667	0.2	0.22397	na	0.7	0.95263	0.12329	25	0	0	7.0467	6.6632	8.0737	-0.084364	-0.031345	0.2	0.25	
0.43781	-1.4685	0.93388	0.91622	1.0162	1.0067	-2.4526	0.375	0.52941	0.49065	na	0.55	0.89474	0.15257	17	0	0	4.7918	5.3526	7.8053	0.1814	-0.080151	0.3	0.35	
1.006	-1.4422	0.86241	1.0461	0.9011	1.1157	-0.28421	0.125	0.22222	0.23735	na	0.45	0.90526	0.17826	9	0	0	2.5368	3.2789	3.5632	0.45339	-0.017544	0.25	0.25	
-0.10142	-2.7721	-0.30579	-0.28592	-0.44606	-0.40761	2.0947	0	0	0.07961	na	0.55	0.93158	0.12312	14	0	0	3.9462	3.8368	1.7421	-0.04294	0.083124	0.2	0.2	
-0.619	-3.1594	-1.2164	-1.2099	-0.88105	-0.9657	-3.1474	0.11111	0.21053	0.1531	na	0.6	0.90526	0.099525	19	0	0	5.3555	4.4789	7.6263	-0.25367	-0.092028	0.3	0.35	
-0.75661	-0.95921	-0.43918	-0.61635	-0.59815	-0.77969	-1.8842	0.16667	0.30769	0.32373	na	0.4	0.64737	0.1068	13	0	0	3.6643	2.9	4.7842	-0.32327	-0.080522	0.6	0.7	
-0.8556	-7.2107	-1.2078	-1.2827	-1.4938	-1.5594	-0.50526	0.083333	0.15385	0.13361	na	0.65	0.94211	0.10686	13	0	0	3.6643	2.8	3.3053	-0.36556	-0.021592	0.2	0.25	
-0.51159	-1.6843	0.30558	0.07267	0.27368	0.016248	2.7158	0.21875	0.36364	0.29752	na	0.65	0.94737	0.11234	33	0	0	9.3017	8.0947	5.3789	-0.2011	0.04572	0.2	0.3	
0.27452	-1.4313	0.055607	0.13843	-0.022783	0.084843	-0.14737	0.15385	0.21429	0.24697	na	0.5	0.89474	0.14016	14	0	0	3.9462	4.2421	4.3895	0.11623	-0.005848	0.25	0.4	
-1.0782	-3.2898	-1.8273	-1.8681	-1.8958	-1.9785	-1.3895	0.1875	0.29412	0.24863	na	0.55	0.84211	0.088863	17	0	0	4.7918	3.4105	4.8	-0.44675	-0.045408	0.4	0.45	
-0.0963	-1.0981	0.62709	0.48255	0.65221	0.50096	0.17895	0.125	0.23529	0.27534	na	0.5	0.91053	0.13019	17	0	0	4.7918	4.6684	4.4895	-0.0399	0.005848	0.2	0.25	
-0.36627	-1.8435	-0.1011	-0.20799	-0.21472	-0.31901	-0.53684	0.22222	0.36842	0.30561	na	0.55	0.92105	0.11528	19	0	0	5.3555	4.8368	5.3737	-0.1501	-0.015697	0.25	0.3	
0.9693	-0.2819	0.93475	1.0944	0.98882	1.1779	1.3053	0.33333	0.6	0.45823	na	0.4	0.83684	0.17635	10	0	0	2.8187	3.6	2.2947	0.4296	0.072515	0.35	0.5	
-0.81913	-1.6785	-1.39	-1.4205	-1.2926	-1.3796	-1.4526	0.076923	0.14286	0.11825	na	0.45	0.79474	0.10153	14	0	0	3.9462	3.0632	4.5158	-0.3468	-0.057644	0.45	0.55	
0.44492	-3.4428	1.3424	1.2574	1.4363	1.3606	-0.89474	0	0	0.14818	na	0.5	0.92105	0.15954	8	0	0	2.255	2.5526	3.4474	0.20459	-0.062135	0.2	0.25	
-1.0622	-0.62859	-1.3738	-1.4897	-1.3323	-1.5066	-1.1368	0.26667	0.3125	0.31584	na	0.4	0.74211	0.12013	16	0	0	4.5099	3.2211	4.3579	-0.44292	-0.039474	0.5	0.55	
0.30053	-3.3296	0.39166	0.42405	0.72138	0.71061	-1.1474	0	0	0.14685	na	0.65	0.94737	0.14282	18	0	0	5.0737	5.4789	6.6263	0.1238	-0.035413	0.2	0.25	
0.052053	-0.26019	0.058987	0.066211	-0.024809	0	-0.21053	0.15	0.2381	0.30744	na	0.5	0.88421	0.13384	21	0	0	5.9193	6	6.2105	0.02114	-0.0055695	0.25	0.45	
1.0752	-8.1928	1.1398	1.301	1.2471	1.4386	0.94737	0.15385	0.21429	0.32047	na	0.8	0.97895	0.17944	14	0	0	3.9462	5.1053	4.1579	0.45523	0.037594	0.1	0.15	
-0.7657	-2.1649	-0.78497	-0.90666	-0.78597	-0.9479	-2.5895	0.20833	0.36	0.28735	na	0.6	0.92105	0.097399	25	0	0	7.0467	5.6526	8.2421	-0.30662	-0.057544	0.25	0.3	
0.92148	1.1257	0.15114	0.44123	0.34218	0.64703	-2.3895	0.28	0.38462	0.37577	na	0.5	0.92105	0.16648	26	0	0	7.3286	9.0684	11.458	0.36793	-0.051057	0.2	0.35	
-1.1853	-2.176	-2.1128	-2.139	-2.1392	-2.2188	-1.0842	0.076923	0.14286	0.14122	na	0.45	0.83158	0.10217	14	0	0	3.9462	2.6684	3.7526	-0.50183	-0.043024	0.35	0.45	
