mlcoalsim version 094beta (20060305)
OUTPUT FILE: date Fri Mar 17 14:53:29 2006 

Input data from the file: /Users/user/Documents/WorkatUB/Stephan/FSall/S20/WallHudson_method/other_alternatives/expansion/R00/theta_avg/L1n20thetaS20D1m0x010R00

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          10000
Seed1:                 974

N_loci:                1
N_sites:               1000
N_samples:             20
Thetaw:                33.84
Recombination:         0
Nintn:                 1
Ts:                    0
Nrec:                  1
Npast:                 0.1
Tpast:                 0.025


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
-1.4316	-5.2976	-2.1341	-2.2403	-2.6238	-2.715	1.9158	0.0625	0.11765	0.075389	na	0.6	0.91053	0.072345	17	0	0	4.7918	2.9579	1.0421	-0.59315	0.062607	0.25	0.3	
-1.7211	-9.1621	-2.8218	-2.9039	-3.4532	-3.5108	1.8211	0.058824	0.11111	0.092217	na	0.7	0.95263	0.062848	18	0	0	5.0737	2.7526	0.93158	-0.709	0.056205	0.2	0.3	
-0.14601	-1.7811	-0.51334	-0.47098	-0.71784	-0.64653	-0.68421	0.090909	0.13043	0.17157	na	0.6	0.84737	0.1204	23	0	0	6.483	6.2368	6.9211	-0.058847	-0.016527	0.4	0.45	
-1.0643	-4.605	-1.4745	-1.574	-1.8684	-1.9522	-0.41053	0.1	0.14286	0.14782	na	0.65	0.92632	0.079594	21	0	0	5.9193	4.2684	4.6789	-0.43224	-0.01086	0.25	0.35	
-1.2444	-3.8926	-1.3738	-1.5515	-1.7141	-1.8915	-0.73684	0	0	0.054379	na	0.55	0.84211	0.080283	16	0	0	4.5099	3	3.7368	-0.51889	-0.025585	0.4	0.45	
-1.1967	-8.3535	-1.0507	-1.2698	-1.3323	-1.558	1.8	0	0	0.016413	na	0.7	0.95789	0.076916	16	0	0	4.5099	3.0579	1.2579	-0.49899	0.0625	0.15	0.25	
-1.9164	-8.4993	-2.7477	-2.9093	-2.9878	-3.2017	-0.58947	0	0	0.011096	na	0.65	0.93684	0.072747	17	0	0	4.7918	2.3368	2.9263	-0.79402	-0.019264	0.2	0.35	
-1.5138	-4.141	-1.8273	-2.0161	-2.2598	-2.4463	1.4947	0.0625	0.11765	0.070172	na	0.55	0.84211	0.072413	17	0	0	4.7918	2.8526	1.3579	-0.6272	0.048848	0.4	0.5	
-0.18416	-0.80196	-0.65875	-0.60367	-0.88105	-0.79681	0.71579	0.22222	0.36842	0.361	na	0.5	0.86316	0.12061	19	0	0	5.3555	5.0947	4.3789	-0.075469	0.02093	0.35	0.45	
-0.78268	-6.9965	-0.70774	-0.84854	-0.94663	-1.0844	2.2526	0	0	0.091394	na	0.75	0.95789	0.096038	21	0	0	5.9193	4.7053	2.4526	-0.31786	0.059593	0.2	0.25	
